Model,Task,Success Rate,Grasp Rate,Avg Steps,Avg Elapsed (s)
openvla,widowx_put_eggplant_in_basket,0.0%,12.5%,120.0,22.73
openvla,widowx_carrot_on_plate,0.0%,20.8%,60.0,11.01
openvla,widowx_spoon_on_towel,4.2%,20.8%,60.0,10.88
openvla,widowx_stack_cube,8.3%,16.7%,57.2,10.27
openvla_foveated,widowx_put_eggplant_in_basket,41.7%,79.2%,82.0,16.93
openvla_foveated,widowx_carrot_on_plate,20.8%,33.3%,53.9,10.92
openvla_foveated,widowx_spoon_on_towel,45.8%,70.8%,45.2,9.36
openvla_foveated,widowx_stack_cube,20.8%,62.5%,53.3,10.86
openvla_retina,widowx_put_eggplant_in_basket,29.2%,62.5%,94.9,12.79
openvla_retina,widowx_carrot_on_plate,4.2%,20.8%,58.7,7.33
openvla_retina,widowx_spoon_on_towel,16.7%,33.3%,56.7,7.20
openvla_retina,widowx_stack_cube,8.3%,20.8%,57.0,6.85
