Model,Task,Success,Grasp,Steps,Time (s),ms/infer
OpenVLA,Carrot on Plate,0.1667,0.2917,58.2,34.66,511.7
OpenVLA,Eggplant in Basket,0.2500,0.5417,108.3,66.03,511.7
OpenVLA,Spoon on Towel,0.0833,0.1250,59.1,35.93,521.6
OpenVLA,Stack Cube,0.1250,0.1667,56.3,33.64,513.9
OpenVLA + Foveated,Carrot on Plate,0.1667,0.5000,55.8,33.64,511.8
OpenVLA + Foveated,Eggplant in Basket,0.3333,0.5833,89.5,55.56,511.9
OpenVLA + Foveated,Spoon on Towel,0.4167,0.7083,48.2,29.80,523.6
OpenVLA + Foveated,Stack Cube,0.4583,0.7500,47.6,28.73,513.0
OpenVLA + Retina,Carrot on Plate,0.0417,0.2500,58.9,21.15,515.0
OpenVLA + Retina,Eggplant in Basket,0.2500,0.4583,101.3,37.14,515.9
OpenVLA + Retina,Spoon on Towel,0.1667,0.4583,57.1,20.00,524.4
OpenVLA + Retina,Stack Cube,0.0417,0.2083,58.4,17.19,516.2
