Model,Task,Success,Grasp,Steps,Time (s),ms/infer
OpenVLA,Carrot on Plate,0.1250,0.2083,59.2,35.13,509.1
OpenVLA,Eggplant in Basket,0.0417,0.4583,117.5,71.33,507.6
OpenVLA,Spoon on Towel,0.0000,0.0833,60.0,35.78,510.1
OpenVLA,Stack Cube,0.1250,0.1667,56.5,33.53,509.9
OpenVLA + Foveated,Carrot on Plate,0.2083,0.4583,53.8,32.02,506.8
OpenVLA + Foveated,Eggplant in Basket,0.3750,0.6250,89.5,55.02,503.8
OpenVLA + Foveated,Spoon on Towel,0.2917,0.3333,51.4,30.76,505.9
OpenVLA + Foveated,Stack Cube,0.2083,0.5833,54.5,32.40,504.4
OpenVLA + Retina,Carrot on Plate,0.0417,0.1667,59.5,19.84,507.3
OpenVLA + Retina,Eggplant in Basket,0.2500,0.4167,101.5,35.72,505.6
OpenVLA + Retina,Spoon on Towel,0.2083,0.3333,55.2,19.33,507.5
OpenVLA + Retina,Stack Cube,0.0000,0.2083,60.0,18.23,508.2
