model_name,environment,checkpoint_model_id,suite,configuration,tasks,episodes,successes,success_rate_pct,avg_steps,avg_policy_calls,avg_reuses,policy_median_latency_ms,policy_p95_latency_ms,cycle_median_latency_ms,cycle_p95_latency_ms,avg_episode_time_s,control_frequency_hz,action_repeat,depth_layers,selected_depth_layers,fusion_keyframe_interval,fusion_max_reuse_fraction,median_reusable_visual_tokens
smolvla_libero,libero,SmolVLA-LIBERO,libero_goal,original,10,100,80,80,147.66,147.66,0.0,278.882,284.949,294.455,301.529,43.66,3.382,2,1,N/A,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_goal,fixed_foveation_keep20,10,100,58,58,186.72,186.72,0.0,278.414,284.532,307.064,316.32,57.52,3.246,2,1,N/A,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_goal,fixed_foveation_keep50,10,100,67,67,168.51,168.51,0.0,273.738,277.478,303.524,309.886,51.24,3.288,2,1,N/A,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_goal,action_repeat2,10,100,72,72,164.22,82.31,81.91,278.549,280.727,290.92,296.511,25.32,6.486,2,1,N/A,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_goal,action_repeat4,10,100,59,59,197.32,49.51,147.81,276.63,279.332,13.777,294.205,16.49,11.968,4,1,N/A,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_goal,depth_pruning1,10,100,62,62,187.03,187.03,0.0,278.101,288.609,293.013,303.969,54.9,3.407,2,1,30,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_goal,depth_pruning2,10,100,53,53,210.43,210.43,0.0,279.48,288.539,294.657,305.619,60.3,3.487,2,2,28;30,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_goal,depth_pruning4,10,100,28,28,260.99,260.99,0.0,229.635,441.537,243.656,468.521,68.6,3.781,2,4,24;26;28;30,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_goal,guarded_reuse_strict,10,100,76,76,153.64,153.41,0.23,261.222,299.503,275.563,315.953,42.88,3.563,2,1,N/A,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_goal,guarded_reuse_moderate,10,100,75,75,155.36,154.6,0.76,259.72,289.052,274.344,304.388,42.87,3.629,2,1,N/A,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_goal,guarded_reuse_aggressive,10,100,77,77,151.78,147.48,4.3,259.711,300.718,274.355,314.682,38.77,3.869,2,1,N/A,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_goal,temporal_fusion_motion_entropy,10,100,77,77,150.61,150.61,0.0,262.476,298.705,276.564,314.068,42.1,3.572,2,1,N/A,3,0.5,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_goal,temporal_fusion_task_aware,10,100,74,74,158.82,158.82,0.0,263.071,290.617,277.093,304.283,43.25,3.675,2,1,N/A,3,0.5,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_goal,temporal_fusion_conservative_adaptive,10,100,77,77,151.34,151.34,0.0,264.035,296.08,278.231,311.725,42.78,3.542,2,1,N/A,2,0.25,0
