model_name,environment,checkpoint_model_id,suite,configuration,tasks,episodes,successes,success_rate_pct,avg_steps,avg_policy_calls,avg_reuses,policy_median_latency_ms,policy_p95_latency_ms,cycle_median_latency_ms,cycle_p95_latency_ms,avg_episode_time_s,control_frequency_hz,action_repeat,depth_layers,selected_depth_layers,fusion_keyframe_interval,fusion_max_reuse_fraction,median_reusable_visual_tokens
smolvla_libero,libero,SmolVLA-LIBERO,libero_object,original,10,100,94,94,162.25,162.25,0.0,278.057,279.951,292.596,295.602,47.19,3.438,2,1,N/A,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_object,fixed_foveation_keep20,10,100,74,74,189.28,189.28,0.0,278.882,284.25,306.354,314.058,58.12,3.256,2,1,N/A,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_object,fixed_foveation_keep50,10,100,81,81,176.39,176.39,0.0,279.322,285.612,307.99,316.456,54.52,3.235,2,1,N/A,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_object,action_repeat2,10,100,90,90,169.02,84.75,84.27,272.586,274.931,282.899,289.595,25.38,6.66,2,1,N/A,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_object,action_repeat4,10,100,71,71,202.02,50.74,151.28,274.652,276.617,12.711,290.723,16.57,12.195,4,1,N/A,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_object,depth_pruning1,10,100,73,73,193.35,193.35,0.0,279.717,284.235,294.074,300.325,57,3.392,2,1,30,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_object,depth_pruning2,10,100,40,40,233.84,233.84,0.0,276.281,278.604,290.079,293.964,67.86,3.446,2,2,28;30,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_object,depth_pruning4,10,100,13,13,266.05,266.05,0.0,228.676,274.643,241.57,288.304,64.45,4.118,2,4,24;26;28;30,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_object,guarded_reuse_strict,10,100,90,90,164.06,163.93,0.13,259.408,480.018,273.054,507.545,45.93,3.568,2,1,N/A,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_object,guarded_reuse_moderate,10,100,89,89,164.27,163.94,0.33,261.56,269.905,275.047,284.541,44.15,3.735,2,1,N/A,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_object,guarded_reuse_aggressive,10,100,91,91,162.41,160.11,2.3,261.327,269.6,274.726,283.946,44.1,3.674,2,1,N/A,N/A,N/A,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_object,temporal_fusion_motion_entropy,10,100,90,90,163.32,163.32,0.0,265.086,501.471,278.444,526.571,51.26,3.116,2,1,N/A,3,0.5,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_object,temporal_fusion_task_aware,10,100,90,90,162.51,162.51,0.0,262.901,296.018,276.052,310.174,45.24,3.594,2,1,N/A,3,0.5,0
smolvla_libero,libero,SmolVLA-LIBERO,libero_object,temporal_fusion_conservative_adaptive,10,100,86,86,168.94,168.94,0.0,266.925,508.387,279.905,531.485,50.53,3.377,2,1,N/A,2,0.25,0
