model_name,environment,checkpoint_model_id,suite,configuration,tasks,episodes,successes,success_rate_pct,avg_steps,avg_policy_calls,avg_reuses,policy_median_latency_ms,policy_p95_latency_ms,cycle_median_latency_ms,cycle_p95_latency_ms,avg_episode_time_s,control_frequency_hz,action_repeat,depth_layers,selected_depth_layers,fusion_keyframe_interval,fusion_max_reuse_fraction,median_reusable_visual_tokens
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_goal,original,10,100,92,92,122.58,12.66,0.0,487.914,643.491,625.057,780.822,7.98,1.586,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_goal,fixed_foveation_keep20,10,100,87,87,129.8,13.34,0.0,483.042,651.204,624.215,788.532,8.45,1.579,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_goal,fixed_foveation_keep50,10,100,99,99,114.37,11.86,0.0,471.88,645.699,624.041,782.718,7.49,1.584,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_goal,action_repeat2,10,100,34,34,244.05,12.34,123.4,497.332,666.898,770.81,954.213,9.7,1.272,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_goal,action_repeat4,10,100,0,0.0,300,8,240,500.971,666.673,1010.853,1200.764,8.1,0.988,4,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_goal,depth_pruning1,10,100,93,93,121.69,12.53,0.0,474.858,637.756,607.282,766.791,7.69,1.629,2,1,19,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_goal,depth_pruning2,10,100,89,89,129.01,13.34,0.0,462.344,616.397,597.142,747.127,8.06,1.656,2,2,19;21,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_goal,depth_pruning4,10,100,84,84,143.71,14.74,0.0,436.865,578.13,577.377,720.217,8.59,1.717,2,4,19;21;26;29,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_goal,guarded_reuse_strict,10,100,93,93,121.34,12.53,0.0,485.658,634.287,619.65,769.594,7.85,1.597,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_goal,guarded_reuse_moderate,10,100,93,93,121.54,12.56,0.0,482.56,628.428,612.278,768.291,7.79,1.612,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_goal,guarded_reuse_aggressive,10,100,92,92,122.56,12.65,0.0,482.322,629.39,615.021,765.594,7.87,1.608,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_goal,temporal_fusion_motion_entropy,10,100,95,95,122.07,12.63,0.0,480.907,650.162,615.005,795.506,7.93,1.593,2,1,N/A,3,0.5,312
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_goal,temporal_fusion_task_aware,10,100,93,93,123.26,12.77,0.0,546.543,733.158,684.131,862.325,8.86,1.442,2,1,N/A,3,0.5,168
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_goal,temporal_fusion_conservative_adaptive,10,100,92,92,122.67,12.66,0.0,481.928,633.209,617.562,770.788,7.91,1.601,2,1,N/A,2,0.25,0.0
