model_name,environment,checkpoint_model_id,suite,configuration,tasks,episodes,successes,success_rate_pct,avg_steps,avg_policy_calls,avg_reuses,policy_median_latency_ms,policy_p95_latency_ms,cycle_median_latency_ms,cycle_p95_latency_ms,avg_episode_time_s,control_frequency_hz,action_repeat,depth_layers,selected_depth_layers,fusion_keyframe_interval,fusion_max_reuse_fraction,median_reusable_visual_tokens
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_spatial,original,10,100,95,95,108.31,11.27,0.0,502.401,694.469,695.601,883.834,7.83,1.41,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_spatial,fixed_foveation_keep20,10,100,91,91,114.42,11.81,0.0,513.982,704.81,709.48,897.38,8.53,1.385,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_spatial,fixed_foveation_keep50,10,100,96,96,108.93,11.29,0.0,508.64,687.005,698.213,887.052,8.05,1.403,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_spatial,action_repeat2,10,100,27,27,208.63,10.55,105.5,525.242,700.798,903.456,1104.862,9.68,1.09,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_spatial,action_repeat4,10,100,0,0.0,220,6,180,518.206,694.41,1230.528,1491.427,7.28,0.824,4,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_spatial,depth_pruning1,10,100,96,96,107.83,11.18,0.0,494.037,676.695,678.102,855.343,7.72,1.448,2,1,19,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_spatial,depth_pruning2,10,100,94,94,111.46,11.57,0.0,482.367,651.636,666.502,835.187,7.82,1.48,2,2,19;22,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_spatial,depth_pruning4,10,100,94,94,109.17,11.34,0.0,455.473,609.953,639.537,790.82,7.35,1.544,2,4,19;22;26;29,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_spatial,guarded_reuse_strict,10,100,95,95,108.31,11.27,0.0,509.953,696.105,692.363,874.545,7.94,1.42,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_spatial,guarded_reuse_moderate,10,100,95,95,108.31,11.27,0.0,505.247,687.648,691.678,873.315,7.91,1.425,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_spatial,guarded_reuse_aggressive,10,100,95,95,108.31,11.27,0.0,503.558,690.597,686.978,867.084,7.86,1.434,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_spatial,temporal_fusion_motion_entropy,10,100,91,91,113.66,11.72,0.0,510.609,692.408,695.25,887.35,8.31,1.411,2,1,N/A,3,0.5,300
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_spatial,temporal_fusion_task_aware,10,100,92,92,112.8,11.7,0.0,580.819,801.563,765.06,984.391,9.13,1.282,2,1,N/A,3,0.5,141
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_spatial,temporal_fusion_conservative_adaptive,10,100,95,95,108.31,11.27,0.0,498.786,677.162,682.986,866.353,7.82,1.442,2,1,N/A,2,0.25,0.0
