model_name,environment,checkpoint_model_id,configuration,tasks,episodes,successes,success_rate_pct,avg_steps,avg_policy_calls,avg_reuses,policy_median_latency_ms,policy_p95_latency_ms,cycle_median_latency_ms,cycle_p95_latency_ms,avg_episode_time_s,control_frequency_hz,action_repeat,depth_layers,selected_depth_layers,fusion_keyframe_interval,fusion_max_reuse_fraction,median_reusable_visual_tokens
cogact_base_simplerenv_fractal,simpler_google_robot_fractal,CogACT-Base-Fractal,original,5,250,167,66.8,44.776,44.776,0,98.96,129.42,162.727,197.517,7.57,5.98,2,1,,,,0.0
cogact_base_simplerenv_fractal,simpler_google_robot_fractal,CogACT-Base-Fractal,fixed_foveation_keep20,5,250,162,64.8,45.32,45.32,0,99.127,125.623,183.585,217.889,8.6,5.33,2,1,,,,0.0
cogact_base_simplerenv_fractal,simpler_google_robot_fractal,CogACT-Base-Fractal,fixed_foveation_keep50,5,250,168,67.2,44.34,44.34,0,99.233,151.313,186.99,228.031,8.63,5.19,2,1,,,,0.0
cogact_base_simplerenv_fractal,simpler_google_robot_fractal,CogACT-Base-Fractal,action_repeat2,5,250,164,65.6,46.668,23.5,0,98.777,166.514,230.844,303.298,5.67,4.17,2,1,,,,0.0
cogact_base_simplerenv_fractal,simpler_google_robot_fractal,CogACT-Base-Fractal,action_repeat4,5,250,120,48,58.108,14.72,0,99.563,168.773,398.814,490.101,5.67,2.6,4,1,,,,0.0
cogact_base_simplerenv_fractal,simpler_google_robot_fractal,CogACT-Base-Fractal,depth_pruning1,5,250,163,65.2,44.18,44.18,0,98.103,159.214,162.05,199.328,7.52,5.94,2,1,23,,,0.0
cogact_base_simplerenv_fractal,simpler_google_robot_fractal,CogACT-Base-Fractal,depth_pruning2,5,250,164,65.6,43.932,43.932,0,96.881,162.45,160.571,203.091,7.4,5.99,2,2,17;23,,,0.0
cogact_base_simplerenv_fractal,simpler_google_robot_fractal,CogACT-Base-Fractal,depth_pruning4,5,250,167,66.8,43.92,43.92,0,94.062,111.02,158.47,190.445,7.2,6.17,2,4,17;19;23;25,,,0.0
cogact_base_simplerenv_fractal,simpler_google_robot_fractal,CogACT-Base-Fractal,guarded_reuse_strict,5,250,167,66.8,44.704,44.7,0.004,98.706,108.042,163.388,194.058,7.54,6,2,1,,,,0.0
cogact_base_simplerenv_fractal,simpler_google_robot_fractal,CogACT-Base-Fractal,guarded_reuse_moderate,5,250,168,67.2,44.428,44.38,0.048,98.986,149.811,163.865,198.752,7.55,5.97,2,1,,,,0.0
cogact_base_simplerenv_fractal,simpler_google_robot_fractal,CogACT-Base-Fractal,guarded_reuse_aggressive,5,250,167,66.8,43.632,43.384,0.248,100.089,169.71,170.356,231.883,7.69,5.79,2,1,,,,0.0
cogact_base_simplerenv_fractal,simpler_google_robot_fractal,CogACT-Base-Fractal,temporal_fusion_motion_entropy,5,250,162,64.8,44.672,44.672,0,101.053,170.994,169.227,227.315,7.88,5.65,2,1,,3,0.5,107.4
cogact_base_simplerenv_fractal,simpler_google_robot_fractal,CogACT-Base-Fractal,temporal_fusion_task_aware,5,250,162,64.8,44.672,44.672,0,98.782,148.572,164.542,200.074,7.64,5.91,2,1,,3,0.5,107.4
cogact_base_simplerenv_fractal,simpler_google_robot_fractal,CogACT-Base-Fractal,temporal_fusion_conservative_adaptive,5,250,164,65.6,44.544,44.544,0,98.395,163.678,164.804,197.189,7.63,5.9,2,1,,2,0.25,64
