model_name,environment,checkpoint_model_id,configuration,tasks,episodes,successes,success_rate_pct,avg_steps,avg_policy_calls,avg_reuses,policy_median_latency_ms,policy_p95_latency_ms,cycle_median_latency_ms,cycle_p95_latency_ms,avg_episode_time_s,control_frequency_hz,action_repeat,depth_layers,selected_depth_layers,fusion_keyframe_interval,fusion_max_reuse_fraction,median_reusable_visual_tokens
cronusvla_simplerenv_fractal,simpler_google_robot_fractal,CronusVLA-0.5B-Bridge-RT-1-Fractal,original,5,250,139,55.6,51.336,51.336,0,152.561,166.492,152.561,166.492,7.963,6.507,1,0,,,,0
cronusvla_simplerenv_fractal,simpler_google_robot_fractal,CronusVLA-0.5B-Bridge-RT-1-Fractal,fixed_foveation_keep20,5,250,136,54.4,51.368,51.368,0,176.102,189.529,176.102,189.529,9.159,5.689,1,0,,,,0
cronusvla_simplerenv_fractal,simpler_google_robot_fractal,CronusVLA-0.5B-Bridge-RT-1-Fractal,fixed_foveation_keep50,5,250,142,56.8,50.096,50.096,0,178.646,188.05,178.646,188.05,9.017,5.632,1,0,,,,0
cronusvla_simplerenv_fractal,simpler_google_robot_fractal,CronusVLA-0.5B-Bridge-RT-1-Fractal,action_repeat2,5,250,146,58.4,57.428,28.84,28.588,223.077,242.4,111.593,123.189,6.453,9.012,2,0,,,,0
cronusvla_simplerenv_fractal,simpler_google_robot_fractal,CronusVLA-0.5B-Bridge-RT-1-Fractal,action_repeat4,5,250,115,46,74.132,18.596,55.536,356.375,405.048,89.509,102.013,6.663,11.164,4,0,,,,0
cronusvla_simplerenv_fractal,simpler_google_robot_fractal,CronusVLA-0.5B-Bridge-RT-1-Fractal,depth_pruning1,5,250,148,59.2,49.78,49.78,0,148.436,159.528,148.436,159.528,7.491,6.731,1,1,1,,,0
cronusvla_simplerenv_fractal,simpler_google_robot_fractal,CronusVLA-0.5B-Bridge-RT-1-Fractal,depth_pruning2,5,250,140,56,53.052,53.052,0,146.151,155.337,146.151,155.337,7.815,6.861,1,2,"1,3",,,0
cronusvla_simplerenv_fractal,simpler_google_robot_fractal,CronusVLA-0.5B-Bridge-RT-1-Fractal,depth_pruning4,5,250,106,42.4,78.856,78.856,0,139.799,146.746,139.799,146.746,10.982,7.177,1,4,"0,2,4,5",,,0
cronusvla_simplerenv_fractal,simpler_google_robot_fractal,CronusVLA-0.5B-Bridge-RT-1-Fractal,guarded_reuse_strict,5,250,136,54.4,51.928,51.572,0.356,151.77,167.565,151.423,164.213,7.952,6.616,1,0,,,,0
cronusvla_simplerenv_fractal,simpler_google_robot_fractal,CronusVLA-0.5B-Bridge-RT-1-Fractal,guarded_reuse_moderate,5,250,137,54.8,51.872,50.988,0.884,152.438,173.994,151.239,162.138,7.934,6.609,1,0,,,,0
cronusvla_simplerenv_fractal,simpler_google_robot_fractal,CronusVLA-0.5B-Bridge-RT-1-Fractal,guarded_reuse_aggressive,5,250,142,56.8,50.732,48.592,2.14,152.182,176.899,148.631,160.421,7.628,6.698,1,0,,,,0
cronusvla_simplerenv_fractal,simpler_google_robot_fractal,CronusVLA-0.5B-Bridge-RT-1-Fractal,temporal_fusion_motion_entropy,5,250,143,57.2,50.536,50.536,0,155.326,167.346,155.326,167.346,7.929,6.463,1,0,,1,0.5,115.285
cronusvla_simplerenv_fractal,simpler_google_robot_fractal,CronusVLA-0.5B-Bridge-RT-1-Fractal,temporal_fusion_task_aware,5,250,143,57.2,50.536,50.536,0,154.384,166.287,154.384,166.287,7.902,6.482,1,0,,1,0.5,115.285
cronusvla_simplerenv_fractal,simpler_google_robot_fractal,CronusVLA-0.5B-Bridge-RT-1-Fractal,temporal_fusion_conservative_adaptive,5,250,143,57.2,50.536,50.536,0,154.181,166.486,154.181,166.486,7.92,6.474,1,0,,1,0.5,115.285
