model_name,environment,checkpoint_model_id,configuration,tasks,episodes,successes,success_rate_pct,avg_steps,avg_policy_calls,avg_reuses,policy_median_latency_ms,policy_p95_latency_ms,cycle_median_latency_ms,cycle_p95_latency_ms,avg_episode_time_s,control_frequency_hz,action_repeat,depth_layers,selected_depth_layers,fusion_keyframe_interval,fusion_max_reuse_fraction,median_reusable_visual_tokens
spatialvla_4b_simplerenv_fractal,simpler_google_robot_fractal,spatialvla-4b-224-sft-fractal,original,5,250,148,59.2,49.576,49.576,0,379.021,386.117,446.855,466.524,22.31,2.23,2,1,,,,0.0
spatialvla_4b_simplerenv_fractal,simpler_google_robot_fractal,spatialvla-4b-224-sft-fractal,fixed_foveation_keep20,5,250,138,55.2,48.748,48.748,0,379.038,403.302,471.328,492.536,23.15,2.11,2,1,,,,0.0
spatialvla_4b_simplerenv_fractal,simpler_google_robot_fractal,spatialvla-4b-224-sft-fractal,fixed_foveation_keep50,5,250,143,57.2,49.148,49.148,0,378.49,404.015,475.58,494.266,23.51,2.1,2,1,,,,0.0
spatialvla_4b_simplerenv_fractal,simpler_google_robot_fractal,spatialvla-4b-224-sft-fractal,action_repeat2,5,250,148,59.2,50.404,25.34,0,377.128,401.443,520.24,546.824,13.25,1.93,2,1,,,,0.0
spatialvla_4b_simplerenv_fractal,simpler_google_robot_fractal,spatialvla-4b-224-sft-fractal,action_repeat4,5,250,74,29.6,65.88,16.6,0,375.818,391.399,655.635,716.329,10.94,1.53,4,1,,,,0.0
spatialvla_4b_simplerenv_fractal,simpler_google_robot_fractal,spatialvla-4b-224-sft-fractal,depth_pruning1,5,250,135,54,50.636,50.636,0,364.499,371.331,434.384,445.782,22.03,2.31,2,1,8,,,0.0
spatialvla_4b_simplerenv_fractal,simpler_google_robot_fractal,spatialvla-4b-224-sft-fractal,depth_pruning2,5,250,142,56.8,50.74,50.74,0,353.103,373.14,425.882,438.144,21.64,2.36,2,2,8;10,,,0.0
spatialvla_4b_simplerenv_fractal,simpler_google_robot_fractal,spatialvla-4b-224-sft-fractal,depth_pruning4,5,250,108,43.2,55.348,55.348,0,328.668,344.857,397.833,411.719,22.09,2.51,2,4,8;10;13;23,,,0.0
spatialvla_4b_simplerenv_fractal,simpler_google_robot_fractal,spatialvla-4b-224-sft-fractal,guarded_reuse_strict,5,250,148,59.2,49.612,49.356,0.256,377.338,386.623,445.119,464.864,22.16,2.24,2,1,,,,0.0
spatialvla_4b_simplerenv_fractal,simpler_google_robot_fractal,spatialvla-4b-224-sft-fractal,guarded_reuse_moderate,5,250,150,60,49.436,49.024,0.412,377.244,385.88,444.921,461.612,22.09,2.25,2,1,,,,0.0
spatialvla_4b_simplerenv_fractal,simpler_google_robot_fractal,spatialvla-4b-224-sft-fractal,guarded_reuse_aggressive,5,250,147,58.8,49.932,48.732,1.2,377.371,386.107,439.94,457.931,22.02,2.27,2,1,,,,0.0
spatialvla_4b_simplerenv_fractal,simpler_google_robot_fractal,spatialvla-4b-224-sft-fractal,temporal_fusion_motion_entropy,5,250,145,58,49.416,49.416,0,381.28,386.707,449.126,465.758,22.31,2.22,2,1,,3,0.5,95.8
spatialvla_4b_simplerenv_fractal,simpler_google_robot_fractal,spatialvla-4b-224-sft-fractal,temporal_fusion_task_aware,5,250,150,60,47.708,47.708,0,382.135,389.445,450.537,467.684,21.63,2.21,2,1,,3,0.5,33.8
spatialvla_4b_simplerenv_fractal,simpler_google_robot_fractal,spatialvla-4b-224-sft-fractal,temporal_fusion_conservative_adaptive,5,250,148,59.2,49.66,49.66,0,379.749,388.955,450.224,466.296,22.47,2.22,2,1,,2,0.25,0.0
