model_name,environment,checkpoint_model_id,configuration,tasks,episodes,successes,success_rate_pct,avg_steps,avg_policy_calls,avg_reuses,policy_median_latency_ms,policy_p95_latency_ms,cycle_median_latency_ms,cycle_p95_latency_ms,avg_episode_time_s,control_frequency_hz,action_repeat,depth_layers,selected_depth_layers,fusion_keyframe_interval,fusion_max_reuse_fraction,median_reusable_visual_tokens
cogact_base_simplerenv_fractal,simpler_google_robot_fractal,CogACT-Base-Fractal,original,5,250,167,66.8,44.776,44.776,0,98.96,129.42,162.727,197.517,7.57,5.98,2,1,,,,0.0
cogact_base_simplerenv_fractal,simpler_google_robot_fractal,CogACT-Base-Fractal,fixed_foveation_keep50,5,250,168,67.2,44.34,44.34,0,99.233,151.313,186.99,228.031,8.63,5.19,2,1,,,,0.0
cogact_base_simplerenv_fractal,simpler_google_robot_fractal,CogACT-Base-Fractal,action_repeat2,5,250,164,65.6,46.668,23.5,0,98.777,166.514,230.844,303.298,5.67,4.17,2,1,,,,0.0
cogact_base_simplerenv_fractal,simpler_google_robot_fractal,CogACT-Base-Fractal,depth_pruning4,5,250,167,66.8,43.92,43.92,0,94.062,111.02,158.47,190.445,7.2,6.17,2,4,17;19;23;25,,,0.0
cogact_base_simplerenv_fractal,simpler_google_robot_fractal,CogACT-Base-Fractal,guarded_reuse_moderate,5,250,168,67.2,44.428,44.38,0.048,98.986,149.811,163.865,198.752,7.55,5.97,2,1,,,,0.0
cogact_base_simplerenv_fractal,simpler_google_robot_fractal,CogACT-Base-Fractal,temporal_fusion_conservative_adaptive,5,250,164,65.6,44.544,44.544,0,98.395,163.678,164.804,197.189,7.63,5.9,2,1,,2,0.25,64
openvla_simplerenv_fractal,simpler_google_robot_fractal,openvla-7b-Fractal,original,5,250,89,35.6,64.312,64.312,0,160.072,165.475,168.012,170.567,15.42,5.94,2,1,,,,0.0
openvla_simplerenv_fractal,simpler_google_robot_fractal,openvla-7b-Fractal,fixed_foveation_keep50,5,250,61,24.4,68.236,68.236,0,160.88,186.431,179.238,183.63,17.02,5.58,2,1,,,,0.0
openvla_simplerenv_fractal,simpler_google_robot_fractal,openvla-7b-Fractal,action_repeat2,5,250,100,40,62.912,31.556,31.356,159.141,162.801,87.531,91.652,10.01,11.33,2,1,,,,0.0
openvla_simplerenv_fractal,simpler_google_robot_fractal,openvla-7b-Fractal,depth_pruning2,5,250,102,40.8,61.856,61.856,0,150.871,153.091,158.569,159.698,14.27,6.3,2,2,23;25,,,0.0
openvla_simplerenv_fractal,simpler_google_robot_fractal,openvla-7b-Fractal,guarded_reuse_moderate,5,250,91,36.4,64.196,62.592,1.604,160.004,163.955,168.301,170.396,15.19,6.04,2,1,,,,0.0
openvla_simplerenv_fractal,simpler_google_robot_fractal,openvla-7b-Fractal,temporal_fusion_task_aware,5,250,106,42.4,61.436,61.436,0,172.809,176.559,182.035,184.989,15.6,5.49,2,1,,3,0.5,55
spatialvla_4b_simplerenv_fractal,simpler_google_robot_fractal,spatialvla-4b-224-sft-fractal,original,5,250,148,59.2,49.576,49.576,0,379.021,386.117,446.855,466.524,22.31,2.23,2,1,,,,0.0
spatialvla_4b_simplerenv_fractal,simpler_google_robot_fractal,spatialvla-4b-224-sft-fractal,fixed_foveation_keep50,5,250,143,57.2,49.148,49.148,0,378.49,404.015,475.58,494.266,23.51,2.1,2,1,,,,0.0
spatialvla_4b_simplerenv_fractal,simpler_google_robot_fractal,spatialvla-4b-224-sft-fractal,action_repeat2,5,250,148,59.2,50.404,25.34,0,377.128,401.443,520.24,546.824,13.25,1.93,2,1,,,,0.0
spatialvla_4b_simplerenv_fractal,simpler_google_robot_fractal,spatialvla-4b-224-sft-fractal,depth_pruning2,5,250,142,56.8,50.74,50.74,0,353.103,373.14,425.882,438.144,21.64,2.36,2,2,8;10,,,0.0
spatialvla_4b_simplerenv_fractal,simpler_google_robot_fractal,spatialvla-4b-224-sft-fractal,guarded_reuse_moderate,5,250,150,60,49.436,49.024,0.412,377.244,385.88,444.921,461.612,22.09,2.25,2,1,,,,0.0
spatialvla_4b_simplerenv_fractal,simpler_google_robot_fractal,spatialvla-4b-224-sft-fractal,temporal_fusion_task_aware,5,250,150,60,47.708,47.708,0,382.135,389.445,450.537,467.684,21.63,2.21,2,1,,3,0.5,33.8
cronusvla_simplerenv_fractal,simpler_google_robot_fractal,CronusVLA-0.5B-Bridge-RT-1-Fractal,original,5,250,139,55.6,51.336,51.336,0,152.561,166.492,152.561,166.492,7.963,6.507,1,0,,,,0
cronusvla_simplerenv_fractal,simpler_google_robot_fractal,CronusVLA-0.5B-Bridge-RT-1-Fractal,fixed_foveation_keep50,5,250,142,56.8,50.096,50.096,0,178.646,188.05,178.646,188.05,9.017,5.632,1,0,,,,0
