model_name,environment,checkpoint_model_id,configuration,tasks,episodes,successes,success_rate_pct,avg_steps,avg_policy_calls,avg_reuses,policy_median_latency_ms,policy_p95_latency_ms,cycle_median_latency_ms,cycle_p95_latency_ms,avg_episode_time_s,control_frequency_hz,action_repeat,depth_layers,selected_depth_layers,fusion_keyframe_interval,fusion_max_reuse_fraction,median_reusable_visual_tokens
openvla_simplerenv,simpler_widowx,openvla-7b,original,4,200,87,43.5,50.91,50.91,0,158.997,164.142,167.068,168.126,10.7,5.97,2,1,,,,0.0
openvla_simplerenv,simpler_widowx,openvla-7b,fixed_foveation_keep20,4,200,45,22.5,65.24,65.24,0,157.733,167.837,172.186,173.556,14.1,5.8,2,1,,,,0.0
openvla_simplerenv,simpler_widowx,openvla-7b,fixed_foveation_keep50,4,200,60,30,62.515,62.515,0,157.189,168.426,172.003,176.392,13.61,5.78,2,1,,,,0.0
openvla_simplerenv,simpler_widowx,openvla-7b,action_repeat2,4,200,56,28,60.495,30.33,30.165,157.581,162.674,86.765,89.836,7.88,11.45,2,1,,,,0.0
openvla_simplerenv,simpler_widowx,openvla-7b,action_repeat4,4,200,29,14.5,68.41,17.165,51.245,158.215,165.328,47.479,50.144,6.18,20.8,4,1,,,,0.0
openvla_simplerenv,simpler_widowx,openvla-7b,depth_pruning1,4,200,87,43.5,51.655,51.655,0,154.64,157.213,162.563,163.422,10.56,6.15,2,1,23,,,0.0
openvla_simplerenv,simpler_widowx,openvla-7b,depth_pruning2,4,200,95,47.5,51.25,51.25,0,148.958,152.331,156.928,158.656,10.22,6.36,2,2,23;25,,,0.0
openvla_simplerenv,simpler_widowx,openvla-7b,depth_pruning4,4,200,75,37.5,53.795,53.795,0,140.592,143.195,148.625,149.559,10.22,6.75,2,4,17;23;25;27,,,0.0
openvla_simplerenv,simpler_widowx,openvla-7b,guarded_reuse_strict,4,200,91,45.5,49.685,47.845,1.84,158.007,162.025,165.589,167.818,10.07,6.18,2,1,,,,0.0
openvla_simplerenv,simpler_widowx,openvla-7b,guarded_reuse_moderate,4,200,83,41.5,52.115,49.605,2.51,158.109,163.472,165.388,169.406,10.5,6.21,2,1,,,,0.0
openvla_simplerenv,simpler_widowx,openvla-7b,guarded_reuse_aggressive,4,200,82,41,52.695,49.39,3.305,158.39,160.655,165.739,168.269,10.52,6.3,2,1,,,,0.0
openvla_simplerenv,simpler_widowx,openvla-7b,temporal_fusion_motion_entropy,4,200,82,41,54.84,54.84,0,158.025,161.441,166.374,168.343,11.46,5.99,2,1,,3,0.5,113.5
openvla_simplerenv,simpler_widowx,openvla-7b,temporal_fusion_task_aware,4,200,101,50.5,50.53,50.53,0,170.889,174.957,179.263,182.803,11.23,5.55,2,1,,3,0.5,73
openvla_simplerenv,simpler_widowx,openvla-7b,temporal_fusion_conservative_adaptive,4,200,96,48,48.52,48.52,0,157.779,160.451,165.995,167.381,10.1,6.01,2,1,,2,0.25,64
