model_name,environment,checkpoint_model_id,configuration,tasks,episodes,successes,success_rate_pct,avg_steps,avg_policy_calls,avg_reuses,policy_median_latency_ms,policy_p95_latency_ms,cycle_median_latency_ms,cycle_p95_latency_ms,avg_episode_time_s,control_frequency_hz,action_repeat,depth_layers,selected_depth_layers,fusion_keyframe_interval,fusion_max_reuse_fraction,median_reusable_visual_tokens
spatialvla_4b_simplerenv_bridge,simpler_widowx,spatialvla-4b-bridge,original,4,200,90,45,45.145,45.145,0,382.35,388.766,421.339,425.049,19.12,2.36,2,1,,,,0.0
spatialvla_4b_simplerenv_bridge,simpler_widowx,spatialvla-4b-bridge,fixed_foveation_keep20,4,200,100,50,45.565,45.565,0,384.376,394.44,445.418,456.208,20.32,2.24,2,1,,,,0.0
spatialvla_4b_simplerenv_bridge,simpler_widowx,spatialvla-4b-bridge,fixed_foveation_keep50,4,200,89,44.5,46.06,46.06,0,382.662,391.189,446.609,453.351,20.53,2.24,2,1,,,,0.0
spatialvla_4b_simplerenv_bridge,simpler_widowx,spatialvla-4b-bridge,action_repeat2,4,200,82,41,49.375,24.85,0,384.455,395.108,464.222,472.469,11.61,2.14,2,1,,,,0.0
spatialvla_4b_simplerenv_bridge,simpler_widowx,spatialvla-4b-bridge,action_repeat4,4,200,58,29,62.4,15.78,0,381.676,390.576,539.256,572.475,8.6,1.84,4,1,,,,0.0
spatialvla_4b_simplerenv_bridge,simpler_widowx,spatialvla-4b-bridge,depth_pruning1,4,200,77,38.5,49.705,49.705,0,368.385,375.564,408.126,412.322,20.3,2.45,2,1,8,,,0.0
spatialvla_4b_simplerenv_bridge,simpler_widowx,spatialvla-4b-bridge,depth_pruning2,4,200,56,28,55.32,55.32,0,356.766,366.952,396.562,401.986,21.98,2.52,2,2,8;10,,,0.0
spatialvla_4b_simplerenv_bridge,simpler_widowx,spatialvla-4b-bridge,depth_pruning4,4,200,28,14,70.88,70.88,0,334.264,342.069,373.164,381.025,26.55,2.67,2,4,8;10;13;23,,,0.0
spatialvla_4b_simplerenv_bridge,simpler_widowx,spatialvla-4b-bridge,guarded_reuse_strict,4,200,90,45,45.145,45.135,0.01,379.771,388.711,421.248,427.555,19.08,2.37,2,1,,,,0.0
spatialvla_4b_simplerenv_bridge,simpler_widowx,spatialvla-4b-bridge,guarded_reuse_moderate,4,200,90,45,45.11,45.08,0.03,383.48,391.722,424.347,432.405,19.18,2.35,2,1,,,,0.0
spatialvla_4b_simplerenv_bridge,simpler_widowx,spatialvla-4b-bridge,guarded_reuse_aggressive,4,200,91,45.5,45.125,44.935,0.19,382.787,391.532,421.935,426.684,19.07,2.37,2,1,,,,0.0
spatialvla_4b_simplerenv_bridge,simpler_widowx,spatialvla-4b-bridge,temporal_fusion_motion_entropy,4,200,92,46,45.335,45.335,0,384.712,394.951,426.413,432.243,19.41,2.34,2,1,,3,0.5,91.5
spatialvla_4b_simplerenv_bridge,simpler_widowx,spatialvla-4b-bridge,temporal_fusion_task_aware,4,200,88,44,45.475,45.475,0,387.296,399.078,426.352,440.85,19.41,2.33,2,1,,3,0.5,46.25
spatialvla_4b_simplerenv_bridge,simpler_widowx,spatialvla-4b-bridge,temporal_fusion_conservative_adaptive,4,200,90,45,45.69,45.69,0,384.208,392.227,425.43,432.909,19.48,2.34,2,1,,2,0.25,0.0
