model_name,environment,checkpoint_model_id,configuration,tasks,episodes,successes,success_rate_pct,avg_steps,avg_policy_calls,avg_reuses,policy_median_latency_ms,policy_p95_latency_ms,cycle_median_latency_ms,cycle_p95_latency_ms,avg_episode_time_s,control_frequency_hz,action_repeat,depth_layers,selected_depth_layers,fusion_keyframe_interval,fusion_max_reuse_fraction,median_reusable_visual_tokens
univla_simplerenv_bridge,simpler_widowx,Yuqi1997/UniVLA/UNIVLA_SIMPLER_BRIDGE_VIDEO_BS128_20K,original,4,200,175,87.5,30.21,6.375,0,714.451,799.23,902.345,954.494,5.77,1.1,2,1,,,,0.0
univla_simplerenv_bridge,simpler_widowx,Yuqi1997/UniVLA/UNIVLA_SIMPLER_BRIDGE_VIDEO_BS128_20K,fixed_foveation_keep20,4,200,158,79,34.565,7.185,0,713.619,808.032,926.378,980.376,6.63,1.08,2,1,,,,0.0
univla_simplerenv_bridge,simpler_widowx,Yuqi1997/UniVLA/UNIVLA_SIMPLER_BRIDGE_VIDEO_BS128_20K,action_repeat2,4,200,25,12.5,71.93,7.25,36.25,717.583,807.516,1116.491,1211.331,8.16,0.89,2,1,,,,0.0
univla_simplerenv_bridge,simpler_widowx,Yuqi1997/UniVLA/UNIVLA_SIMPLER_BRIDGE_VIDEO_BS128_20K,depth_pruning2,4,200,164,82,31.635,6.635,0,681.914,764.383,870.401,918.625,5.78,1.15,2,2,26;30,,,0.0
univla_simplerenv_bridge,simpler_widowx,Yuqi1997/UniVLA/UNIVLA_SIMPLER_BRIDGE_VIDEO_BS128_20K,guarded_reuse_moderate,4,200,175,87.5,30.065,6.345,0.005,711.321,796.955,895.889,943.597,5.7,1.11,2,1,,,,0.0
univla_simplerenv_bridge,simpler_widowx,Yuqi1997/UniVLA/UNIVLA_SIMPLER_BRIDGE_VIDEO_BS128_20K,temporal_fusion_conservative_adaptive,4,200,175,87.5,30.21,6.375,0,719.725,801.407,909.29,954.804,5.79,1.1,2,1,,2,0.25,0.0
cogact_base_simplerenv_bridge,simpler_widowx,CogACT-Base-Bridge,original,4,200,100,50,50.845,50.845,0.0,98.711,99.92,139.604,154.192,7.19,7.07,2,1,,,,0.0
cogact_base_simplerenv_bridge,simpler_widowx,CogACT-Base-Bridge,fixed_foveation_keep20,4,200,105,52.5,46.57,46.57,0.0,98.292,99.123,158.788,169.183,7.44,6.26,2,1,,,,0.0
cogact_base_simplerenv_bridge,simpler_widowx,CogACT-Base-Bridge,action_repeat2,4,200,24,12,70.605,35.33,0.0,98.63,99.444,179.663,207.811,6.5,5.44,2,1,,,,0.0
cogact_base_simplerenv_bridge,simpler_widowx,CogACT-Base-Bridge,depth_pruning2,4,200,119,59.5,47.135,47.135,0.0,95.836,96.987,135.47,149.49,6.48,7.28,2,2,17;23,,,0.0
cogact_base_simplerenv_bridge,simpler_widowx,CogACT-Base-Bridge,guarded_reuse_aggressive,4,200,106,53,49.77,48.415,1.355,98.997,99.978,139.711,151.712,6.9,7.21,2,1,,,,0.0
cogact_base_simplerenv_bridge,simpler_widowx,CogACT-Base-Bridge,temporal_fusion_motion_entropy,4,200,116,58,47.41,47.41,0.0,98.703,99.407,140.45,153.16,6.73,7.05,2,1,,3,0.5,108
openvla_simplerenv,simpler_widowx,openvla-7b,original,4,200,87,43.5,50.91,50.91,0,158.997,164.142,167.068,168.126,10.7,5.97,2,1,,,,0.0
openvla_simplerenv,simpler_widowx,openvla-7b,fixed_foveation_keep50,4,200,60,30,62.515,62.515,0,157.189,168.426,172.003,176.392,13.61,5.78,2,1,,,,0.0
openvla_simplerenv,simpler_widowx,openvla-7b,action_repeat2,4,200,56,28,60.495,30.33,30.165,157.581,162.674,86.765,89.836,7.88,11.45,2,1,,,,0.0
openvla_simplerenv,simpler_widowx,openvla-7b,depth_pruning2,4,200,95,47.5,51.25,51.25,0,148.958,152.331,156.928,158.656,10.22,6.36,2,2,23;25,,,0.0
openvla_simplerenv,simpler_widowx,openvla-7b,guarded_reuse_strict,4,200,91,45.5,49.685,47.845,1.84,158.007,162.025,165.589,167.818,10.07,6.18,2,1,,,,0.0
openvla_simplerenv,simpler_widowx,openvla-7b,temporal_fusion_task_aware,4,200,101,50.5,50.53,50.53,0,170.889,174.957,179.263,182.803,11.23,5.55,2,1,,3,0.5,73
spatialvla_4b_simplerenv_bridge,simpler_widowx,spatialvla-4b-bridge,original,4,200,90,45,45.145,45.145,0,382.35,388.766,421.339,425.049,19.12,2.36,2,1,,,,0.0
spatialvla_4b_simplerenv_bridge,simpler_widowx,spatialvla-4b-bridge,fixed_foveation_keep20,4,200,100,50,45.565,45.565,0,384.376,394.44,445.418,456.208,20.32,2.24,2,1,,,,0.0
spatialvla_4b_simplerenv_bridge,simpler_widowx,spatialvla-4b-bridge,action_repeat2,4,200,82,41,49.375,24.85,0,384.455,395.108,464.222,472.469,11.61,2.14,2,1,,,,0.0
spatialvla_4b_simplerenv_bridge,simpler_widowx,spatialvla-4b-bridge,depth_pruning1,4,200,77,38.5,49.705,49.705,0,368.385,375.564,408.126,412.322,20.3,2.45,2,1,8,,,0.0
spatialvla_4b_simplerenv_bridge,simpler_widowx,spatialvla-4b-bridge,guarded_reuse_aggressive,4,200,91,45.5,45.125,44.935,0.19,382.787,391.532,421.935,426.684,19.07,2.37,2,1,,,,0.0
spatialvla_4b_simplerenv_bridge,simpler_widowx,spatialvla-4b-bridge,temporal_fusion_motion_entropy,4,200,92,46,45.335,45.335,0,384.712,394.951,426.413,432.243,19.41,2.34,2,1,,3,0.5,91.5
cronusvla_simplerenv_bridge,simpler_widowx,CronusVLA-0.5B-Bridge-RT-1,original,4,200,68,34,50.555,50.555,0,126.3,130.997,126.3,130.997,6.362,7.92,1,0,,,,0
cronusvla_simplerenv_bridge,simpler_widowx,CronusVLA-0.5B-Bridge-RT-1,fixed_foveation_keep20,4,200,73,36.5,48.92,48.92,0,145.943,152.476,145.943,152.476,7.138,6.828,1,0,,,,0
cronusvla_simplerenv_bridge,simpler_widowx,CronusVLA-0.5B-Bridge-RT-1,action_repeat2,4,200,7,3.5,73.395,36.71,36.685,162.782,183.87,81.45,91.987,6.217,11.986,2,0,,,,0
cronusvla_simplerenv_bridge,simpler_widowx,CronusVLA-0.5B-Bridge-RT-1,depth_pruning1,4,200,70,35,52.17,52.17,0,123.056,126.719,123.056,126.719,6.425,8.121,1,1,1,,,0
cronusvla_simplerenv_bridge,simpler_widowx,CronusVLA-0.5B-Bridge-RT-1,guarded_reuse_strict,4,200,72,36,49.735,49.71,0.025,125.718,130.256,125.718,130.256,6.24,7.945,1,0,,,,0
cronusvla_simplerenv_bridge,simpler_widowx,CronusVLA-0.5B-Bridge-RT-1,temporal_fusion_motion_entropy,4,200,67,33.5,51.205,51.205,0,126.666,131.341,126.666,131.341,6.499,7.859,1,0,,1,0.5,110.542
minivla_simplerenv,simpler_widowx,prism-qwen25-extra-dinosiglip-224px+0_5b,original,4,200,72,36.0,63.84,63.84,0.0,97.08,100.1,104.86,107.91,9.54,6.69,2,1,,,,0.0
minivla_simplerenv,simpler_widowx,prism-qwen25-extra-dinosiglip-224px+0_5b,fixed_foveation_keep50,4,200,70,35.0,62.91,62.91,0.0,98.07,100.07,112.7,114.81,9.84,6.39,2,1,,,,0.0
minivla_simplerenv,simpler_widowx,prism-qwen25-extra-dinosiglip-224px+0_5b,action_repeat2,4,200,60,30.0,66.94,33.545,33.395,97.14,99.33,103.64,106.02,6.64,10.09,2,1,,,,0.0
minivla_simplerenv,simpler_widowx,prism-qwen25-extra-dinosiglip-224px+0_5b,depth_pruning1,4,200,37,18.5,67.435,67.435,0.0,95.72,96.96,103.5,104.75,9.84,6.85,2,1,13,,,0.0
minivla_simplerenv,simpler_widowx,prism-qwen25-extra-dinosiglip-224px+0_5b,guarded_reuse_strict,4,200,77,38.5,62.65,60.69,1.96,97.2,98.65,105.57,107.2,9.12,6.87,2,1,,,,0.0
minivla_simplerenv,simpler_widowx,prism-qwen25-extra-dinosiglip-224px+0_5b,temporal_fusion_motion_entropy,4,200,78,39.0,61.165,61.165,0.0,98.57,99.86,106.97,108.43,9.17,6.67,2,1,,,,107.0
