model_name,environment,checkpoint_model_id,configuration,tasks,episodes,successes,success_rate_pct,avg_steps,avg_policy_calls,avg_reuses,policy_median_latency_ms,policy_p95_latency_ms,cycle_median_latency_ms,cycle_p95_latency_ms,avg_episode_time_s,control_frequency_hz,action_repeat,depth_layers,selected_depth_layers,fusion_keyframe_interval,fusion_max_reuse_fraction,median_reusable_visual_tokens
univla_simplerenv_bridge,simpler_widowx,Yuqi1997/UniVLA/UNIVLA_SIMPLER_BRIDGE_VIDEO_BS128_20K,original,4,200,175,87.5,30.21,6.375,0,714.451,799.23,902.345,954.494,5.77,1.1,2,1,,,,0.0
univla_simplerenv_bridge,simpler_widowx,Yuqi1997/UniVLA/UNIVLA_SIMPLER_BRIDGE_VIDEO_BS128_20K,fixed_foveation_keep20,4,200,158,79,34.565,7.185,0,713.619,808.032,926.378,980.376,6.63,1.08,2,1,,,,0.0
univla_simplerenv_bridge,simpler_widowx,Yuqi1997/UniVLA/UNIVLA_SIMPLER_BRIDGE_VIDEO_BS128_20K,fixed_foveation_keep50,4,200,146,73,37.365,7.75,0,714.982,796.856,921.386,965.197,7.08,1.09,2,1,,,,0.0
univla_simplerenv_bridge,simpler_widowx,Yuqi1997/UniVLA/UNIVLA_SIMPLER_BRIDGE_VIDEO_BS128_20K,action_repeat2,4,200,25,12.5,71.93,7.25,36.25,717.583,807.516,1116.491,1211.331,8.16,0.89,2,1,,,,0.0
univla_simplerenv_bridge,simpler_widowx,Yuqi1997/UniVLA/UNIVLA_SIMPLER_BRIDGE_VIDEO_BS128_20K,action_repeat4,4,200,6,3,74.515,3.74,56.1,727.874,814.082,1497.394,1755.675,5.85,0.65,4,1,,,,0.0
univla_simplerenv_bridge,simpler_widowx,Yuqi1997/UniVLA/UNIVLA_SIMPLER_BRIDGE_VIDEO_BS128_20K,depth_pruning1,4,200,164,82,32.45,6.81,0,695.277,773.757,884.392,932.643,6.01,1.13,2,1,26,,,0.0
univla_simplerenv_bridge,simpler_widowx,Yuqi1997/UniVLA/UNIVLA_SIMPLER_BRIDGE_VIDEO_BS128_20K,depth_pruning2,4,200,164,82,31.635,6.635,0,681.914,764.383,870.401,918.625,5.78,1.15,2,2,26;30,,,0.0
univla_simplerenv_bridge,simpler_widowx,Yuqi1997/UniVLA/UNIVLA_SIMPLER_BRIDGE_VIDEO_BS128_20K,depth_pruning4,4,200,163,81.5,32.315,6.765,0,646.765,709.409,831.856,871.973,5.59,1.21,2,4,21;24;26;30,,,0.0
univla_simplerenv_bridge,simpler_widowx,Yuqi1997/UniVLA/UNIVLA_SIMPLER_BRIDGE_VIDEO_BS128_20K,guarded_reuse_strict,4,200,175,87.5,30.21,6.375,0,717.211,800.695,908.734,956.362,5.77,1.1,2,1,,,,0.0
univla_simplerenv_bridge,simpler_widowx,Yuqi1997/UniVLA/UNIVLA_SIMPLER_BRIDGE_VIDEO_BS128_20K,guarded_reuse_moderate,4,200,175,87.5,30.065,6.345,0.005,711.321,796.955,895.889,943.597,5.7,1.11,2,1,,,,0.0
univla_simplerenv_bridge,simpler_widowx,Yuqi1997/UniVLA/UNIVLA_SIMPLER_BRIDGE_VIDEO_BS128_20K,guarded_reuse_aggressive,4,200,173,86.5,30.56,6.435,0.01,716.165,799.149,902.852,949.361,5.82,1.1,2,1,,,,0.0
univla_simplerenv_bridge,simpler_widowx,Yuqi1997/UniVLA/UNIVLA_SIMPLER_BRIDGE_VIDEO_BS128_20K,temporal_fusion_motion_entropy,4,200,164,82,31.62,6.625,0,715.595,814.264,903.744,951.451,5.97,1.11,2,1,,3,0.5,403.625
univla_simplerenv_bridge,simpler_widowx,Yuqi1997/UniVLA/UNIVLA_SIMPLER_BRIDGE_VIDEO_BS128_20K,temporal_fusion_task_aware,4,200,96,48,22.53,4.71,0,861.266,972.362,1034.609,1090.743,5.03,0.98,2,1,,3,0.5,147.25
univla_simplerenv_bridge,simpler_widowx,Yuqi1997/UniVLA/UNIVLA_SIMPLER_BRIDGE_VIDEO_BS128_20K,temporal_fusion_conservative_adaptive,4,200,175,87.5,30.21,6.375,0,719.725,801.407,909.29,954.804,5.79,1.1,2,1,,2,0.25,0.0
