backbone_dir,configuration,task,task_group,n,successes,success_rate,mean_steps,truncation_rate,n_with_truncated_field,mean_policy_calls,mean_reuses,mean_episode_elapsed_s,median_of_episode_query_median_ms,n_with_query_latency
cogact_base_simplerenv_bridge,action_repeat2,widowx_carrot_on_plate,widowx_carrot_on_plate,50,7,0.14,57.24,0.86,50,28.64,0.0,5.078,99.102,50
cogact_base_simplerenv_bridge,action_repeat2,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,8,0.16,108.22,0.84,50,54.16,0.0,10.475,98.511,50
cogact_base_simplerenv_bridge,action_repeat2,widowx_spoon_on_towel,widowx_spoon_on_towel,50,9,0.18,56.96,0.84,50,28.52,0.0,5.163,98.767,50
cogact_base_simplerenv_bridge,action_repeat2,widowx_stack_cube,widowx_stack_cube,50,0,0.0,60.0,1.0,50,30.0,0.0,5.27,98.673,50
cogact_base_simplerenv_bridge,action_repeat4,widowx_carrot_on_plate,widowx_carrot_on_plate,50,4,0.08,58.82,0.92,50,14.72,0.0,3.715,98.056,50
cogact_base_simplerenv_bridge,action_repeat4,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,1,0.02,119.2,0.98,50,29.8,0.0,8.713,98.604,50
cogact_base_simplerenv_bridge,action_repeat4,widowx_spoon_on_towel,widowx_spoon_on_towel,50,3,0.06,59.46,0.94,50,14.88,0.0,3.828,98.381,50
cogact_base_simplerenv_bridge,action_repeat4,widowx_stack_cube,widowx_stack_cube,50,1,0.02,59.6,0.98,50,14.9,0.0,3.804,98.55,50
cogact_base_simplerenv_bridge,depth_pruning1,widowx_carrot_on_plate,widowx_carrot_on_plate,50,22,0.44,49.48,0.56,50,49.48,0.0,6.78,97.078,50
cogact_base_simplerenv_bridge,depth_pruning1,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,39,0.78,52.26,0.22,50,52.26,0.0,7.559,97.321,50
cogact_base_simplerenv_bridge,depth_pruning1,widowx_spoon_on_towel,widowx_spoon_on_towel,50,37,0.74,37.64,0.26,50,37.64,0.0,5.168,96.66,50
cogact_base_simplerenv_bridge,depth_pruning1,widowx_stack_cube,widowx_stack_cube,50,16,0.32,50.92,0.7,50,50.92,0.0,6.897,96.709,50
cogact_base_simplerenv_bridge,depth_pruning2,widowx_carrot_on_plate,widowx_carrot_on_plate,50,27,0.54,46.86,0.46,50,46.86,0.0,6.328,95.77,50
cogact_base_simplerenv_bridge,depth_pruning2,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,39,0.78,52.1,0.22,50,52.1,0.0,7.454,95.943,50
cogact_base_simplerenv_bridge,depth_pruning2,widowx_spoon_on_towel,widowx_spoon_on_towel,50,32,0.64,41.64,0.36,50,41.64,0.0,5.706,96.093,50
cogact_base_simplerenv_bridge,depth_pruning2,widowx_stack_cube,widowx_stack_cube,50,21,0.42,47.94,0.58,50,47.94,0.0,6.417,95.724,50
cogact_base_simplerenv_bridge,depth_pruning4,widowx_carrot_on_plate,widowx_carrot_on_plate,50,26,0.52,45.68,0.48,50,45.68,0.0,6.101,93.802,50
cogact_base_simplerenv_bridge,depth_pruning4,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,38,0.76,56.28,0.24,50,56.28,0.0,7.841,92.961,50
cogact_base_simplerenv_bridge,depth_pruning4,widowx_spoon_on_towel,widowx_spoon_on_towel,50,21,0.42,49.02,0.58,50,49.02,0.0,6.572,93.497,50
cogact_base_simplerenv_bridge,depth_pruning4,widowx_stack_cube,widowx_stack_cube,50,20,0.4,48.38,0.6,50,48.38,0.0,6.481,94.056,50
cogact_base_simplerenv_bridge,fixed_foveation_keep20,widowx_carrot_on_plate,widowx_carrot_on_plate,50,21,0.42,48.1,0.58,50,48.1,0.0,7.61,98.354,50
cogact_base_simplerenv_bridge,fixed_foveation_keep20,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,44,0.88,43.7,0.12,50,43.7,0.0,7.166,98.534,50
cogact_base_simplerenv_bridge,fixed_foveation_keep20,widowx_spoon_on_towel,widowx_spoon_on_towel,50,25,0.5,43.26,0.5,50,43.26,0.0,6.811,97.742,50
cogact_base_simplerenv_bridge,fixed_foveation_keep20,widowx_stack_cube,widowx_stack_cube,50,15,0.3,51.22,0.7,50,51.22,0.0,8.18,98.38,50
cogact_base_simplerenv_bridge,fixed_foveation_keep50,widowx_carrot_on_plate,widowx_carrot_on_plate,50,21,0.42,48.62,0.58,50,48.62,0.0,7.878,99.107,50
cogact_base_simplerenv_bridge,fixed_foveation_keep50,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,38,0.76,53.82,0.24,50,53.82,0.0,9.012,99.091,50
cogact_base_simplerenv_bridge,fixed_foveation_keep50,widowx_spoon_on_towel,widowx_spoon_on_towel,50,32,0.64,38.42,0.36,50,38.42,0.0,6.198,99.059,50
cogact_base_simplerenv_bridge,fixed_foveation_keep50,widowx_stack_cube,widowx_stack_cube,50,14,0.28,52.58,0.72,50,52.58,0.0,8.373,99.13,50
cogact_base_simplerenv_bridge,guarded_reuse_aggressive,widowx_carrot_on_plate,widowx_carrot_on_plate,50,21,0.42,49.48,0.58,50,49.06,0.42,6.83,99.115,50
cogact_base_simplerenv_bridge,guarded_reuse_aggressive,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,35,0.7,59.12,0.3,50,55.5,3.62,8.281,99.222,50
cogact_base_simplerenv_bridge,guarded_reuse_aggressive,widowx_spoon_on_towel,widowx_spoon_on_towel,50,33,0.66,38.92,0.34,50,38.22,0.7,5.358,98.848,50
cogact_base_simplerenv_bridge,guarded_reuse_aggressive,widowx_stack_cube,widowx_stack_cube,50,17,0.34,51.56,0.66,50,50.88,0.68,7.148,99.151,50
cogact_base_simplerenv_bridge,guarded_reuse_moderate,widowx_carrot_on_plate,widowx_carrot_on_plate,50,20,0.4,51.06,0.62,50,50.94,0.12,7.084,98.858,50
cogact_base_simplerenv_bridge,guarded_reuse_moderate,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,32,0.64,65.0,0.36,50,63.48,1.52,9.409,99.533,50
cogact_base_simplerenv_bridge,guarded_reuse_moderate,widowx_spoon_on_towel,widowx_spoon_on_towel,50,35,0.7,38.68,0.3,50,38.62,0.06,5.368,98.714,50
cogact_base_simplerenv_bridge,guarded_reuse_moderate,widowx_stack_cube,widowx_stack_cube,50,13,0.26,52.6,0.74,50,52.36,0.24,7.247,99.444,50
cogact_base_simplerenv_bridge,guarded_reuse_strict,widowx_carrot_on_plate,widowx_carrot_on_plate,50,22,0.44,49.9,0.56,50,49.88,0.02,6.985,99.435,50
cogact_base_simplerenv_bridge,guarded_reuse_strict,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,35,0.7,59.38,0.3,50,58.84,0.54,8.639,99.351,50
cogact_base_simplerenv_bridge,guarded_reuse_strict,widowx_spoon_on_towel,widowx_spoon_on_towel,50,31,0.62,40.34,0.38,50,40.34,0.0,5.614,99.079,50
cogact_base_simplerenv_bridge,guarded_reuse_strict,widowx_stack_cube,widowx_stack_cube,50,15,0.3,51.7,0.7,50,51.62,0.08,7.187,99.388,50
cogact_base_simplerenv_bridge,original,widowx_carrot_on_plate,widowx_carrot_on_plate,50,19,0.38,50.86,0.62,50,50.86,0.0,7.024,98.398,50
cogact_base_simplerenv_bridge,original,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,34,0.68,60.6,0.32,50,60.6,0.0,8.914,98.603,50
cogact_base_simplerenv_bridge,original,widowx_spoon_on_towel,widowx_spoon_on_towel,50,31,0.62,40.34,0.38,50,40.34,0.0,5.604,98.92,50
cogact_base_simplerenv_bridge,original,widowx_stack_cube,widowx_stack_cube,50,16,0.32,51.58,0.68,50,51.58,0.0,7.232,98.784,50
cogact_base_simplerenv_bridge,temporal_fusion_conservative_adaptive,widowx_carrot_on_plate,widowx_carrot_on_plate,50,18,0.36,51.3,0.64,50,51.3,0.0,7.189,98.126,50
cogact_base_simplerenv_bridge,temporal_fusion_conservative_adaptive,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,38,0.76,54.5,0.24,50,54.5,0.0,7.955,98.112,50
cogact_base_simplerenv_bridge,temporal_fusion_conservative_adaptive,widowx_spoon_on_towel,widowx_spoon_on_towel,50,34,0.68,37.54,0.32,50,37.54,0.0,5.261,97.893,50
cogact_base_simplerenv_bridge,temporal_fusion_conservative_adaptive,widowx_stack_cube,widowx_stack_cube,50,14,0.28,52.38,0.72,50,52.38,0.0,7.276,97.881,50
cogact_base_simplerenv_bridge,temporal_fusion_motion_entropy,widowx_carrot_on_plate,widowx_carrot_on_plate,50,23,0.46,49.74,0.54,50,49.74,0.0,7.013,98.941,50
cogact_base_simplerenv_bridge,temporal_fusion_motion_entropy,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,41,0.82,51.06,0.18,50,51.06,0.0,7.466,98.739,50
cogact_base_simplerenv_bridge,temporal_fusion_motion_entropy,widowx_spoon_on_towel,widowx_spoon_on_towel,50,36,0.72,37.08,0.3,50,37.08,0.0,5.234,98.624,50
cogact_base_simplerenv_bridge,temporal_fusion_motion_entropy,widowx_stack_cube,widowx_stack_cube,50,16,0.32,51.76,0.68,50,51.76,0.0,7.202,98.635,50
cogact_base_simplerenv_bridge,temporal_fusion_task_aware,widowx_carrot_on_plate,widowx_carrot_on_plate,50,23,0.46,49.74,0.54,50,49.74,0.0,6.989,98.466,50
cogact_base_simplerenv_bridge,temporal_fusion_task_aware,widowx_put_eggplant_in_basket,widowx_put_eggplant_in_basket,50,41,0.82,51.06,0.18,50,51.06,0.0,7.497,98.247,50
cogact_base_simplerenv_bridge,temporal_fusion_task_aware,widowx_spoon_on_towel,widowx_spoon_on_towel,50,36,0.72,37.08,0.3,50,37.08,0.0,5.241,98.117,50
cogact_base_simplerenv_bridge,temporal_fusion_task_aware,widowx_stack_cube,widowx_stack_cube,50,16,0.32,51.76,0.68,50,51.76,0.0,7.223,98.377,50
cogact_base_simplerenv_fractal,action_repeat2,google_robot_close_drawer,google_robot_close_drawer,50,37,0.74,42.06,0.0,50,21.26,0.0,5.396,98.46,50
cogact_base_simplerenv_fractal,action_repeat2,google_robot_move_near,google_robot_move_near,50,41,0.82,32.1,0.18,50,16.22,0.0,3.646,98.848,50
cogact_base_simplerenv_fractal,action_repeat2,google_robot_open_drawer,google_robot_open_drawer,50,42,0.84,45.86,0.0,50,23.2,0.0,5.776,98.567,50
cogact_base_simplerenv_fractal,action_repeat2,google_robot_pick_coke_can,google_robot_pick_coke_can,50,44,0.88,33.32,0.12,50,16.82,0.0,3.881,100.012,50
cogact_base_simplerenv_fractal,action_repeat2,google_robot_place_apple_in_closed_top_drawer,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,0.0,50,40.0,0.0,9.668,98.767,50
cogact_base_simplerenv_fractal,action_repeat4,google_robot_close_drawer,google_robot_close_drawer,50,44,0.88,38.98,0.0,50,10.06,0.0,4.164,99.7,50
cogact_base_simplerenv_fractal,action_repeat4,google_robot_move_near,google_robot_move_near,50,25,0.5,53.98,0.5,50,13.74,0.0,4.751,99.361,50
cogact_base_simplerenv_fractal,action_repeat4,google_robot_open_drawer,google_robot_open_drawer,50,21,0.42,65.86,0.0,50,16.64,0.0,6.726,98.689,50
cogact_base_simplerenv_fractal,action_repeat4,google_robot_pick_coke_can,google_robot_pick_coke_can,50,30,0.6,51.72,0.4,50,13.16,0.0,4.7,99.875,50
cogact_base_simplerenv_fractal,action_repeat4,google_robot_place_apple_in_closed_top_drawer,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,0.0,50,20.0,0.0,8.0,99.696,50
cogact_base_simplerenv_fractal,depth_pruning1,google_robot_close_drawer,google_robot_close_drawer,50,29,0.58,48.72,0.0,50,48.72,0.0,8.48,97.488,50
cogact_base_simplerenv_fractal,depth_pruning1,google_robot_move_near,google_robot_move_near,50,48,0.96,21.32,0.04,50,21.32,0.0,3.459,98.962,50
cogact_base_simplerenv_fractal,depth_pruning1,google_robot_open_drawer,google_robot_open_drawer,50,36,0.72,51.74,0.0,50,51.74,0.0,9.096,98.432,50
cogact_base_simplerenv_fractal,depth_pruning1,google_robot_pick_coke_can,google_robot_pick_coke_can,50,50,1.0,19.12,0.0,50,19.12,0.0,3.096,98.155,50
cogact_base_simplerenv_fractal,depth_pruning1,google_robot_place_apple_in_closed_top_drawer,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,0.0,50,80.0,0.0,13.444,97.548,50
cogact_base_simplerenv_fractal,depth_pruning2,google_robot_close_drawer,google_robot_close_drawer,50,30,0.6,49.38,0.0,50,49.38,0.0,8.757,97.504,50
cogact_base_simplerenv_fractal,depth_pruning2,google_robot_move_near,google_robot_move_near,50,47,0.94,23.28,0.06,50,23.28,0.0,3.702,97.277,50
