path,backbone_dir,configuration,task_or_suite,status,condition,model_name,config_name,task_suite_name,episodes,successes,success_rate,average_reuses,average_policy_calls,len_episode_errors,episode_errors_raw_type,episode_errors_first,claim_scope,implementation_versions,policy_setup,action_statistics_key_top,fusion_is_null,fusion_absent,checkpoint_manifest_absent,depth_calibration.selected_layers,arguments.action_repeat,arguments.action_tokenizer,arguments.attn_backend,arguments.base_model_metadata,arguments.cfg_scale,arguments.checkpoint,arguments.condition,arguments.config_name,arguments.depth_calibration_seed,arguments.depth_calibration_tasks,arguments.depth_indices,arguments.depth_layers,arguments.device,arguments.environment_action_format,arguments.fovea_keep_ratio,arguments.fusion_collect_relevance,arguments.fusion_entropy_protect_fraction,arguments.fusion_event_motion_threshold,arguments.fusion_keyframe_interval,arguments.fusion_max_reuse_fraction,arguments.fusion_motion_threshold,arguments.fusion_protect_radius,arguments.fusion_task_protect_fraction,arguments.max_steps,arguments.model_name,arguments.normalizer,arguments.normalizer_key,arguments.num_ddim_steps,arguments.num_trials_per_task,arguments.output_dir,arguments.predict_action_frames,arguments.resume,arguments.reuse_max_consecutive,arguments.reuse_max_frame_mae,arguments.reuse_max_local_patch_mae,arguments.reuse_min_action_cosine,arguments.reuse_min_translation_norm,arguments.seed,arguments.suite,arguments.tasks,arguments.trials,arguments.vision_checkpoint,arguments.vlm_checkpoint,checkpoint_manifest.action_ensemble_temperature,checkpoint_manifest.action_statistics_key,checkpoint_manifest.attention_backend,checkpoint_manifest.base_vlm,checkpoint_manifest.center_crop,checkpoint_manifest.checkpoint_size_bytes,checkpoint_manifest.image_resolution,checkpoint_manifest.lerobot,checkpoint_manifest.libero_root,checkpoint_manifest.model_id,checkpoint_manifest.native_action_chunk_size,checkpoint_manifest.policy,checkpoint_manifest.policy_setup,checkpoint_manifest.requested_checkpoint,checkpoint_manifest.resolved_checkpoint,checkpoint_manifest.resolved_checkpoint_size_bytes,checkpoint_manifest.task_suite,checkpoint_manifest.transformers,checkpoint_manifest.vision_checkpoint,checkpoint_manifest.vlm,depth_calibration.calibrated,depth_calibration.influence,depth_calibration.mode,depth_calibration.rules.min_gap,depth_calibration.rules.min_layer_fraction,depth_calibration.rules.protect_last,depth_calibration.seed,depth_calibration.tasks,fusion.collect_relevance,fusion.keyframes,fusion.median_reusable_visual_tokens,fusion.representation,fusion.task_relevance_supported
/home/user/BiVLA/artifacts/results/mentor_2026-09-11/results/cogact_base_simplerenv_bridge/action_repeat2/summary.json,cogact_base_simplerenv_bridge,action_repeat2,,completed,action_repeat,cogact_base_simplerenv_bridge,action_repeat2,simpler_widowx,200,24,0.12,0.0,35.33,0,int,,Paired SimpleWidowX Bridge rollouts with CogACT-Base. The 14 controls are evaluated as runtime/task conditions; synthetic action agreement is not used as an accuracy result.,<absent>,<absent>,<absent>,False,False,True,[],2,,,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/CogACT/weights/llama2-7b-base,1.5,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/CogACT/weights/CogACT-Base/checkpoints/CogACT-Base.pt,action_repeat,action_repeat2,,,,1,cuda:0,,0.2,,0.15,,3,0.5,0.01,1,0.2,150,cogact_base_simplerenv_bridge,,,10,50,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/artifacts/results/cogact_base_simplerenv_bridge/action_repeat2,,,1,0.01,0.03,0.995,0.01,42,,"widowx_spoon_on_towel,widowx_carrot_on_plate,widowx_stack_cube,widowx_put_eggplant_in_basket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,CogACT projected visual tokens before Llama cognition-token generation,False
/home/user/BiVLA/artifacts/results/mentor_2026-09-11/results/cogact_base_simplerenv_bridge/action_repeat4/summary.json,cogact_base_simplerenv_bridge,action_repeat4,,completed,action_repeat,cogact_base_simplerenv_bridge,action_repeat4,simpler_widowx,200,9,0.045,0.0,18.575,0,int,,Paired SimpleWidowX Bridge rollouts with CogACT-Base. The 14 controls are evaluated as runtime/task conditions; synthetic action agreement is not used as an accuracy result.,<absent>,<absent>,<absent>,False,False,True,[],4,,,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/CogACT/weights/llama2-7b-base,1.5,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/CogACT/weights/CogACT-Base/checkpoints/CogACT-Base.pt,action_repeat,action_repeat4,,,,1,cuda:0,,0.2,,0.15,,3,0.5,0.01,1,0.2,150,cogact_base_simplerenv_bridge,,,10,50,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/artifacts/results/cogact_base_simplerenv_bridge/action_repeat4,,,1,0.01,0.03,0.995,0.01,42,,"widowx_spoon_on_towel,widowx_carrot_on_plate,widowx_stack_cube,widowx_put_eggplant_in_basket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,CogACT projected visual tokens before Llama cognition-token generation,False
/home/user/BiVLA/artifacts/results/mentor_2026-09-11/results/cogact_base_simplerenv_bridge/depth_pruning1/summary.json,cogact_base_simplerenv_bridge,depth_pruning1,,completed,depth_pruning,cogact_base_simplerenv_bridge,depth_pruning1,simpler_widowx,200,114,0.57,0.0,47.575,0,int,,Paired SimpleWidowX Bridge rollouts with CogACT-Base. The 14 controls are evaluated as runtime/task conditions; synthetic action agreement is not used as an accuracy result.,<absent>,<absent>,<absent>,False,False,True,[17],2,,,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/CogACT/weights/llama2-7b-base,1.5,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/CogACT/weights/CogACT-Base/checkpoints/CogACT-Base.pt,depth_pruning,depth_pruning1,,,,1,cuda:0,,0.2,,0.15,,3,0.5,0.01,1,0.2,150,cogact_base_simplerenv_bridge,,,10,50,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/artifacts/results/cogact_base_simplerenv_bridge/depth_pruning1,,,1,0.01,0.03,0.995,0.01,42,,"widowx_spoon_on_towel,widowx_carrot_on_plate,widowx_stack_cube,widowx_put_eggplant_in_basket",,,,,,,,,,,,,,,,,,,,,,,,,"[0.048134177923202515, 0.05354234576225281, 0.009928733110427856, 0.006527319550514221, 0.013876780867576599, 0.009815484285354614, 0.015215426683425903, 0.024237945675849915, 0.027325987815856934, 0.026195377111434937, 0.03061261773109436, 0.029778003692626953, 0.019207581877708435, 0.01715843379497528, 0.023772835731506348, 0.022366434335708618, 0.02564603090286255, 0.013540834188461304, 0.019007444381713867, 0.018872663378715515, 0.014453500509262085, 0.015857964754104614, 0.017497599124908447, 0.014382123947143555, 0.01773412525653839, 0.01598602533340454, 0.021748259663581848, 0.0161123126745224, 0.018685877323150635, 0.024841323494911194, 0.029001310467720032, 0.07253992557525635]",,,,,,,,0,0.0,CogACT projected visual tokens before Llama cognition-token generation,False
/home/user/BiVLA/artifacts/results/mentor_2026-09-11/results/cogact_base_simplerenv_bridge/depth_pruning2/summary.json,cogact_base_simplerenv_bridge,depth_pruning2,,completed,depth_pruning,cogact_base_simplerenv_bridge,depth_pruning2,simpler_widowx,200,119,0.595,0.0,47.135,0,int,,Paired SimpleWidowX Bridge rollouts with CogACT-Base. The 14 controls are evaluated as runtime/task conditions; synthetic action agreement is not used as an accuracy result.,<absent>,<absent>,<absent>,False,False,True,"[17, 23]",2,,,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/CogACT/weights/llama2-7b-base,1.5,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/CogACT/weights/CogACT-Base/checkpoints/CogACT-Base.pt,depth_pruning,depth_pruning2,,,,2,cuda:0,,0.2,,0.15,,3,0.5,0.01,1,0.2,150,cogact_base_simplerenv_bridge,,,10,50,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/artifacts/results/cogact_base_simplerenv_bridge/depth_pruning2,,,1,0.01,0.03,0.995,0.01,42,,"widowx_spoon_on_towel,widowx_carrot_on_plate,widowx_stack_cube,widowx_put_eggplant_in_basket",,,,,,,,,,,,,,,,,,,,,,,,,"[0.048134177923202515, 0.05354234576225281, 0.009928733110427856, 0.006527319550514221, 0.013876780867576599, 0.009815484285354614, 0.015215426683425903, 0.024237945675849915, 0.027325987815856934, 0.026195377111434937, 0.03061261773109436, 0.029778003692626953, 0.019207581877708435, 0.01715843379497528, 0.023772835731506348, 0.022366434335708618, 0.02564603090286255, 0.013540834188461304, 0.019007444381713867, 0.018872663378715515, 0.014453500509262085, 0.015857964754104614, 0.017497599124908447, 0.014382123947143555, 0.01773412525653839, 0.01598602533340454, 0.021748259663581848, 0.0161123126745224, 0.018685877323150635, 0.024841323494911194, 0.029001310467720032, 0.07253992557525635]",,,,,,,,0,0.0,CogACT projected visual tokens before Llama cognition-token generation,False
/home/user/BiVLA/artifacts/results/mentor_2026-09-11/results/cogact_base_simplerenv_bridge/depth_pruning4/summary.json,cogact_base_simplerenv_bridge,depth_pruning4,,completed,depth_pruning,cogact_base_simplerenv_bridge,depth_pruning4,simpler_widowx,200,105,0.525,0.0,49.84,0,int,,Paired SimpleWidowX Bridge rollouts with CogACT-Base. The 14 controls are evaluated as runtime/task conditions; synthetic action agreement is not used as an accuracy result.,<absent>,<absent>,<absent>,False,False,True,"[17, 20, 23, 25]",2,,,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/CogACT/weights/llama2-7b-base,1.5,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/CogACT/weights/CogACT-Base/checkpoints/CogACT-Base.pt,depth_pruning,depth_pruning4,,,,4,cuda:0,,0.2,,0.15,,3,0.5,0.01,1,0.2,150,cogact_base_simplerenv_bridge,,,10,50,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/artifacts/results/cogact_base_simplerenv_bridge/depth_pruning4,,,1,0.01,0.03,0.995,0.01,42,,"widowx_spoon_on_towel,widowx_carrot_on_plate,widowx_stack_cube,widowx_put_eggplant_in_basket",,,,,,,,,,,,,,,,,,,,,,,,,"[0.048134177923202515, 0.05354234576225281, 0.009928733110427856, 0.006527319550514221, 0.013876780867576599, 0.009815484285354614, 0.015215426683425903, 0.024237945675849915, 0.027325987815856934, 0.026195377111434937, 0.03061261773109436, 0.029778003692626953, 0.019207581877708435, 0.01715843379497528, 0.023772835731506348, 0.022366434335708618, 0.02564603090286255, 0.013540834188461304, 0.019007444381713867, 0.018872663378715515, 0.014453500509262085, 0.015857964754104614, 0.017497599124908447, 0.014382123947143555, 0.01773412525653839, 0.01598602533340454, 0.021748259663581848, 0.0161123126745224, 0.018685877323150635, 0.024841323494911194, 0.029001310467720032, 0.07253992557525635]",,,,,,,,0,0.0,CogACT projected visual tokens before Llama cognition-token generation,False
/home/user/BiVLA/artifacts/results/mentor_2026-09-11/results/cogact_base_simplerenv_bridge/fixed_foveation_keep20/summary.json,cogact_base_simplerenv_bridge,fixed_foveation_keep20,,completed,fixed_foveation,cogact_base_simplerenv_bridge,fixed_foveation_keep20,simpler_widowx,200,105,0.525,0.0,46.57,0,int,,Paired SimpleWidowX Bridge rollouts with CogACT-Base. The 14 controls are evaluated as runtime/task conditions; synthetic action agreement is not used as an accuracy result.,<absent>,<absent>,<absent>,False,False,True,[],2,,,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/CogACT/weights/llama2-7b-base,1.5,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/CogACT/weights/CogACT-Base/checkpoints/CogACT-Base.pt,fixed_foveation,fixed_foveation_keep20,,,,1,cuda:0,,0.2,,0.15,,3,0.5,0.01,1,0.2,150,cogact_base_simplerenv_bridge,,,10,50,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/artifacts/results/cogact_base_simplerenv_bridge/fixed_foveation_keep20,,,1,0.01,0.03,0.995,0.01,42,,"widowx_spoon_on_towel,widowx_carrot_on_plate,widowx_stack_cube,widowx_put_eggplant_in_basket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,CogACT projected visual tokens before Llama cognition-token generation,False
/home/user/BiVLA/artifacts/results/mentor_2026-09-11/results/cogact_base_simplerenv_bridge/fixed_foveation_keep50/summary.json,cogact_base_simplerenv_bridge,fixed_foveation_keep50,,completed,fixed_foveation,cogact_base_simplerenv_bridge,fixed_foveation_keep50,simpler_widowx,200,105,0.525,0.0,48.36,0,int,,Paired SimpleWidowX Bridge rollouts with CogACT-Base. The 14 controls are evaluated as runtime/task conditions; synthetic action agreement is not used as an accuracy result.,<absent>,<absent>,<absent>,False,False,True,[],2,,,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/CogACT/weights/llama2-7b-base,1.5,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/CogACT/weights/CogACT-Base/checkpoints/CogACT-Base.pt,fixed_foveation,fixed_foveation_keep50,,,,1,cuda:0,,0.5,,0.15,,3,0.5,0.01,1,0.2,150,cogact_base_simplerenv_bridge,,,10,50,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/artifacts/results/cogact_base_simplerenv_bridge/fixed_foveation_keep50,,,1,0.01,0.03,0.995,0.01,42,,"widowx_spoon_on_towel,widowx_carrot_on_plate,widowx_stack_cube,widowx_put_eggplant_in_basket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,CogACT projected visual tokens before Llama cognition-token generation,False
/home/user/BiVLA/artifacts/results/mentor_2026-09-11/results/cogact_base_simplerenv_bridge/guarded_reuse_aggressive/summary.json,cogact_base_simplerenv_bridge,guarded_reuse_aggressive,,completed,guarded_action_reuse,cogact_base_simplerenv_bridge,guarded_reuse_aggressive,simpler_widowx,200,106,0.53,1.355,48.415,0,int,,Paired SimpleWidowX Bridge rollouts with CogACT-Base. The 14 controls are evaluated as runtime/task conditions; synthetic action agreement is not used as an accuracy result.,<absent>,<absent>,<absent>,False,False,True,[],2,,,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/CogACT/weights/llama2-7b-base,1.5,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/CogACT/weights/CogACT-Base/checkpoints/CogACT-Base.pt,guarded_action_reuse,guarded_reuse_aggressive,,,,1,cuda:0,,0.2,,0.15,,3,0.5,0.01,1,0.2,150,cogact_base_simplerenv_bridge,,,10,50,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/artifacts/results/cogact_base_simplerenv_bridge/guarded_reuse_aggressive,,,2,0.02,0.05,0.98,0.01,42,,"widowx_spoon_on_towel,widowx_carrot_on_plate,widowx_stack_cube,widowx_put_eggplant_in_basket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,CogACT projected visual tokens before Llama cognition-token generation,False
/home/user/BiVLA/artifacts/results/mentor_2026-09-11/results/cogact_base_simplerenv_bridge/guarded_reuse_moderate/summary.json,cogact_base_simplerenv_bridge,guarded_reuse_moderate,,completed,guarded_action_reuse,cogact_base_simplerenv_bridge,guarded_reuse_moderate,simpler_widowx,200,100,0.5,0.485,51.35,0,int,,Paired SimpleWidowX Bridge rollouts with CogACT-Base. The 14 controls are evaluated as runtime/task conditions; synthetic action agreement is not used as an accuracy result.,<absent>,<absent>,<absent>,False,False,True,[],2,,,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/CogACT/weights/llama2-7b-base,1.5,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/CogACT/weights/CogACT-Base/checkpoints/CogACT-Base.pt,guarded_action_reuse,guarded_reuse_moderate,,,,1,cuda:0,,0.2,,0.15,,3,0.5,0.01,1,0.2,150,cogact_base_simplerenv_bridge,,,10,50,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/artifacts/results/cogact_base_simplerenv_bridge/guarded_reuse_moderate,,,1,0.015,0.04,0.99,0.01,42,,"widowx_spoon_on_towel,widowx_carrot_on_plate,widowx_stack_cube,widowx_put_eggplant_in_basket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,CogACT projected visual tokens before Llama cognition-token generation,False
/home/user/BiVLA/artifacts/results/mentor_2026-09-11/results/cogact_base_simplerenv_bridge/guarded_reuse_strict/summary.json,cogact_base_simplerenv_bridge,guarded_reuse_strict,,completed,guarded_action_reuse,cogact_base_simplerenv_bridge,guarded_reuse_strict,simpler_widowx,200,103,0.515,0.16,50.17,0,int,,Paired SimpleWidowX Bridge rollouts with CogACT-Base. The 14 controls are evaluated as runtime/task conditions; synthetic action agreement is not used as an accuracy result.,<absent>,<absent>,<absent>,False,False,True,[],2,,,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/CogACT/weights/llama2-7b-base,1.5,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/CogACT/weights/CogACT-Base/checkpoints/CogACT-Base.pt,guarded_action_reuse,guarded_reuse_strict,,,,1,cuda:0,,0.2,,0.15,,3,0.5,0.01,1,0.2,150,cogact_base_simplerenv_bridge,,,10,50,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/artifacts/results/cogact_base_simplerenv_bridge/guarded_reuse_strict,,,1,0.01,0.03,0.995,0.01,42,,"widowx_spoon_on_towel,widowx_carrot_on_plate,widowx_stack_cube,widowx_put_eggplant_in_basket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,CogACT projected visual tokens before Llama cognition-token generation,False
