model_name,environment,checkpoint_model_id,configuration,tasks,episodes,successes,success_rate_pct,avg_steps,avg_policy_calls,avg_reuses,policy_median_latency_ms,policy_p95_latency_ms,cycle_median_latency_ms,cycle_p95_latency_ms,avg_episode_time_s,control_frequency_hz,action_repeat,depth_layers,selected_depth_layers,fusion_keyframe_interval,fusion_max_reuse_fraction,median_reusable_visual_tokens
univla_libero,Libero Long,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,original,10,100,86,86,280.36,28.44,0.0,454.496,635.209,573.526,760.93,16.78,1.695,2,1,N/A,N/A,N/A,0.0
univla_libero,Libero Long,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,fixed_foveation_keep50,10,100,90,90,268.88,27.32,0.0,454.055,636.104,580.931,771.684,16.29,1.677,2,1,N/A,N/A,N/A,0.0
univla_libero,Libero Long,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,action_repeat2,10,100,27,27,465.5,23.42,234.2,455.152,628.446,700.237,895.852,16.71,1.401,2,1,N/A,N/A,N/A,0.0
univla_libero,Libero Long,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,depth_pruning2,10,100,89,89,282.61,28.66,0.0,427.946,599.258,547.705,734.262,16.17,1.773,2,2,19;21,N/A,N/A,0.0
univla_libero,Libero Long,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,guarded_reuse_aggressive,10,100,86,86,281.23,28.34,0.17,450.556,629.093,558.819,747.232,16.37,1.741,2,1,N/A,N/A,N/A,0.0
univla_libero,Libero Long,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,temporal_fusion_task_aware,10,100,87,87,281.91,28.56,0.0,511.759,700.055,621.904,828.622,18.29,1.561,2,1,N/A,3,0.5,143
univla_libero,LIBERO-Goal,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,original,10,100,92,92,122.58,12.66,0.0,487.914,643.491,625.057,780.822,7.98,1.586,2,1,N/A,N/A,N/A,0.0
univla_libero,LIBERO-Goal,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,fixed_foveation_keep50,10,100,99,99,114.37,11.86,0.0,471.88,645.699,624.041,782.718,7.49,1.584,2,1,N/A,N/A,N/A,0.0
univla_libero,LIBERO-Goal,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,action_repeat2,10,100,34,34,244.05,12.34,123.4,497.332,666.898,770.81,954.213,9.7,1.272,2,1,N/A,N/A,N/A,0.0
univla_libero,LIBERO-Goal,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,depth_pruning1,10,100,93,93,121.69,12.53,0.0,474.858,637.756,607.282,766.791,7.69,1.629,2,1,19,N/A,N/A,0.0
univla_libero,LIBERO-Goal,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,guarded_reuse_moderate,10,100,93,93,121.54,12.56,0.0,482.56,628.428,612.278,768.291,7.79,1.612,2,1,N/A,N/A,N/A,0.0
