model_name,environment,checkpoint_model_id,suite,configuration,tasks,episodes,successes,success_rate_pct,avg_steps,avg_policy_calls,avg_reuses,policy_median_latency_ms,policy_p95_latency_ms,cycle_median_latency_ms,cycle_p95_latency_ms,avg_episode_time_s,control_frequency_hz,action_repeat,depth_layers,selected_depth_layers,fusion_keyframe_interval,fusion_max_reuse_fraction,median_reusable_visual_tokens
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_10,original,10,100,86,86,280.36,28.44,0.0,454.496,635.209,573.526,760.93,16.78,1.695,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_10,fixed_foveation_keep20,10,100,86,86,275.74,27.98,0.0,450.481,626.742,577.669,759.279,16.57,1.689,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_10,fixed_foveation_keep50,10,100,90,90,268.88,27.32,0.0,454.055,636.104,580.931,771.684,16.29,1.677,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_10,action_repeat2,10,100,27,27,465.5,23.42,234.2,455.152,628.446,700.237,895.852,16.71,1.401,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_10,action_repeat4,10,100,1,1,517.42,12.94,388.2,472.219,648.994,950.686,1175.386,12.46,1.039,4,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_10,depth_pruning1,10,100,88,88,286.12,29.02,0.0,436.411,608.184,558.283,736.989,16.6,1.748,2,1,19,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_10,depth_pruning2,10,100,89,89,282.61,28.66,0.0,427.946,599.258,547.705,734.262,16.17,1.773,2,2,19;21,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_10,depth_pruning4,10,100,86,86,304.49,30.82,0.0,398.288,557.95,521.934,689.725,16.56,1.862,2,4,19;21;26;30,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_10,guarded_reuse_strict,10,100,86,86,280.58,28.4,0.05,452.515,630.718,570.434,751.902,16.69,1.705,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_10,guarded_reuse_moderate,10,100,86,86,280.89,28.42,0.06,454.163,635.16,574.396,764.313,16.81,1.694,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_10,guarded_reuse_aggressive,10,100,86,86,281.23,28.34,0.17,450.556,629.093,558.819,747.232,16.37,1.741,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_10,temporal_fusion_motion_entropy,10,100,83,83,292.09,29.61,0.0,449.53,626.191,559.582,752.534,17.1,1.732,2,1,N/A,3,0.5,312
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_10,temporal_fusion_task_aware,10,100,87,87,281.91,28.56,0.0,511.759,700.055,621.904,828.622,18.29,1.561,2,1,N/A,3,0.5,143
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_10,temporal_fusion_conservative_adaptive,10,100,86,86,280.45,28.44,0.0,450.866,630.791,559.203,747.817,16.41,1.733,2,1,N/A,2,0.25,0.0
