model_name,environment,checkpoint_model_id,suite,configuration,tasks,episodes,successes,success_rate_pct,avg_steps,avg_policy_calls,avg_reuses,policy_median_latency_ms,policy_p95_latency_ms,cycle_median_latency_ms,cycle_p95_latency_ms,avg_episode_time_s,control_frequency_hz,action_repeat,depth_layers,selected_depth_layers,fusion_keyframe_interval,fusion_max_reuse_fraction,median_reusable_visual_tokens
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_object,original,10,100,96,96,145.82,14.98,0.0,471.347,664.064,589.388,782.328,9.1,1.645,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_object,fixed_foveation_keep20,10,100,100,100,136.04,13.98,0.0,457.248,660.685,593.511,795.686,8.57,1.632,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_object,fixed_foveation_keep50,10,100,97,97,139.97,14.41,0.0,466.902,663.794,593.1,794.166,8.79,1.64,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_object,action_repeat2,10,100,21,21,266.12,13.41,134.1,483.359,670.566,721.154,938.902,10.01,1.34,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_object,action_repeat4,10,100,1,1,279.9,7,210,485.553,665.966,969.437,1172.823,6.96,1.006,4,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_object,depth_pruning1,10,100,99,99,143.23,14.78,0.0,455.215,651.262,577.846,782.202,8.83,1.674,2,1,19,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_object,depth_pruning2,10,100,94,94,145.95,15.03,0.0,444.955,628.577,565.866,760.355,8.8,1.708,2,2,19;21,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_object,depth_pruning4,10,100,92,92,153.47,15.73,0.0,420.229,600.461,542.815,737.069,8.89,1.77,2,4,19;21;26;29,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_object,guarded_reuse_strict,10,100,96,96,145.82,14.98,0.0,469.564,670.54,591.479,795.147,9.14,1.638,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_object,guarded_reuse_moderate,10,100,96,96,145.82,14.98,0.0,468.764,668.289,591.969,798.157,9.16,1.636,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_object,guarded_reuse_aggressive,10,100,96,96,145.82,14.98,0.0,464.96,664.666,587.873,789.638,9.08,1.65,2,1,N/A,N/A,N/A,0.0
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_object,temporal_fusion_motion_entropy,10,100,98,98,142.56,14.64,0.0,455.903,658.53,576.915,777.082,8.75,1.673,2,1,N/A,3,0.5,312
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_object,temporal_fusion_task_aware,10,100,97,97,143.03,14.64,0.0,516.306,732.369,638.54,859.832,9.67,1.513,2,1,N/A,3,0.5,158
univla_libero,libero,/home/soumyara004/soumyaratnadebnath/VisionLanguageAction/models/UniVLA/weights/UNIVLA_LIBERO_VIDEO_BS192_8K,libero_object,temporal_fusion_conservative_adaptive,10,100,96,96,145.82,14.98,0.0,455.123,655.849,577.583,780.569,8.95,1.674,2,1,N/A,2,0.25,0.0
