model,config,n,successes,success,steps,episode_s,step_ms,calls,query_ms,complete
cogact_base_simplerenv_bridge,action_repeat2,200,24,12.0,70.605,6.496346875198942,92.00972842148491,35.33,98.72788400061393,True
cogact_base_simplerenv_bridge,action_repeat4,200,9,4.5,74.27,5.015047302512394,67.52453618570613,18.575,98.57285363237094,True
cogact_base_simplerenv_bridge,depth_pruning1,200,114,57.0,47.575,6.600951918686333,138.74833249997548,47.575,97.07110291973947,True
cogact_base_simplerenv_bridge,depth_pruning2,200,119,59.5,47.135,6.476452713363397,137.4022003471602,47.135,96.0154629070499,True
cogact_base_simplerenv_bridge,depth_pruning4,200,105,52.5,49.84,6.74895335139503,135.41238666522935,49.84,93.47875705425746,True
cogact_base_simplerenv_bridge,fixed_foveation_keep20,200,105,52.5,46.57,7.44156662939,159.79314213850117,46.57,98.28288269520759,True
cogact_base_simplerenv_bridge,fixed_foveation_keep50,200,105,52.5,48.36,7.865280683070596,162.6402126358684,48.36,99.28962969196692,True
cogact_base_simplerenv_bridge,guarded_reuse_aggressive,200,106,53.0,49.77,6.904309311482939,138.72431809288605,48.415,99.02205007604937,True
cogact_base_simplerenv_bridge,guarded_reuse_moderate,200,100,50.0,51.835,7.277010890501843,140.38797898141877,51.35,99.20934517974983,True
cogact_base_simplerenv_bridge,guarded_reuse_strict,200,103,51.5,50.33,7.106312137829664,141.19435998072052,50.17,99.435410358516,True
cogact_base_simplerenv_bridge,original,200,100,50.0,50.845,7.193566584102518,141.4803143692107,50.845,98.88403187934631,True
cogact_base_simplerenv_bridge,temporal_fusion_conservative_adaptive,200,104,52.0,48.93,6.920290105268359,141.43245667828242,48.93,98.15133126933192,True
cogact_base_simplerenv_bridge,temporal_fusion_motion_entropy,200,116,58.0,47.41,6.728912787505542,141.93024230131917,47.41,98.81859696115012,True
cogact_base_simplerenv_bridge,temporal_fusion_task_aware,200,116,58.0,47.41,6.737596417388122,142.11340260257586,47.41,98.41454432972104,True
cogact_base_simplerenv_fractal,action_repeat2,250,164,65.6,46.668,5.673646020904183,121.57465545779085,23.5,102.44031897502298,True
cogact_base_simplerenv_fractal,action_repeat4,250,120,48.0,58.108,5.668207625150215,97.54608014645514,14.72,104.03582634250557,True
cogact_base_simplerenv_fractal,depth_pruning1,250,163,65.2,44.18,7.515018405562267,170.10000917977064,44.18,100.57034891141109,True
cogact_base_simplerenv_fractal,depth_pruning2,250,164,65.6,43.932,7.397034354886971,168.37463249765483,43.932,98.79850916581255,True
cogact_base_simplerenv_fractal,depth_pruning4,250,167,66.8,43.92,7.201923736040015,163.9782271411661,43.92,94.73973000203709,True
cogact_base_simplerenv_fractal,fixed_foveation_keep20,250,162,64.8,45.32,8.601673666345887,189.79862458839114,45.32,100.1688214351336,True
cogact_base_simplerenv_fractal,fixed_foveation_keep50,250,168,67.2,44.34,8.625708239588887,194.53559403673628,44.34,102.01983255534577,True
cogact_base_simplerenv_fractal,guarded_reuse_aggressive,250,167,66.8,43.632,7.691997437220998,176.29257052670053,43.384,106.80672502689015,True
cogact_base_simplerenv_fractal,guarded_reuse_moderate,250,168,67.2,44.428,7.550109716871753,169.94034655784085,44.38,100.82156592214068,True
cogact_base_simplerenv_fractal,guarded_reuse_strict,250,167,66.8,44.704,7.541173076610081,168.69123739732643,44.7,99.52182004478254,True
