source,model,config,suite,n,successes,success,steps,episode_s,step_ms,calls,query_ms
results_corrected/cogact_base_simplerenv_bridge/action_repeat2/summary.json,cogact_base_simplerenv_bridge,action_repeat2,combined,200,24,12.0,70.605,6.496346875198942,92.00972842148491,35.33,98.72788400061393
results_corrected/cogact_base_simplerenv_bridge/action_repeat4/summary.json,cogact_base_simplerenv_bridge,action_repeat4,combined,200,9,4.5,74.27,5.015047302512394,67.52453618570613,18.575,98.57285363237094
results_corrected/cogact_base_simplerenv_bridge/depth_pruning1/summary.json,cogact_base_simplerenv_bridge,depth_pruning1,combined,200,114,57.0,47.575,6.600951918686333,138.74833249997548,47.575,97.07110291973947
results_corrected/cogact_base_simplerenv_bridge/depth_pruning2/summary.json,cogact_base_simplerenv_bridge,depth_pruning2,combined,200,119,59.5,47.135,6.476452713363397,137.4022003471602,47.135,96.0154629070499
results_corrected/cogact_base_simplerenv_bridge/depth_pruning4/summary.json,cogact_base_simplerenv_bridge,depth_pruning4,combined,200,105,52.5,49.84,6.74895335139503,135.41238666522935,49.84,93.47875705425746
results_corrected/cogact_base_simplerenv_bridge/fixed_foveation_keep20/summary.json,cogact_base_simplerenv_bridge,fixed_foveation_keep20,combined,200,105,52.5,46.57,7.44156662939,159.79314213850117,46.57,98.28288269520759
results_corrected/cogact_base_simplerenv_bridge/fixed_foveation_keep50/summary.json,cogact_base_simplerenv_bridge,fixed_foveation_keep50,combined,200,105,52.5,48.36,7.865280683070596,162.6402126358684,48.36,99.28962969196692
results_corrected/cogact_base_simplerenv_bridge/guarded_reuse_aggressive/summary.json,cogact_base_simplerenv_bridge,guarded_reuse_aggressive,combined,200,106,53.0,49.77,6.904309311482939,138.72431809288605,48.415,99.02205007604937
results_corrected/cogact_base_simplerenv_bridge/guarded_reuse_moderate/summary.json,cogact_base_simplerenv_bridge,guarded_reuse_moderate,combined,200,100,50.0,51.835,7.277010890501843,140.38797898141877,51.35,99.20934517974983
results_corrected/cogact_base_simplerenv_bridge/guarded_reuse_strict/summary.json,cogact_base_simplerenv_bridge,guarded_reuse_strict,combined,200,103,51.5,50.33,7.106312137829664,141.19435998072052,50.17,99.435410358516
results_corrected/cogact_base_simplerenv_bridge/original/summary.json,cogact_base_simplerenv_bridge,original,combined,200,100,50.0,50.845,7.193566584102518,141.4803143692107,50.845,98.88403187934631
results_corrected/cogact_base_simplerenv_bridge/temporal_fusion_conservative_adaptive/summary.json,cogact_base_simplerenv_bridge,temporal_fusion_conservative_adaptive,combined,200,104,52.0,48.93,6.920290105268359,141.43245667828242,48.93,98.15133126933192
results_corrected/cogact_base_simplerenv_bridge/temporal_fusion_motion_entropy/summary.json,cogact_base_simplerenv_bridge,temporal_fusion_motion_entropy,combined,200,116,58.0,47.41,6.728912787505542,141.93024230131917,47.41,98.81859696115012
results_corrected/cogact_base_simplerenv_bridge/temporal_fusion_task_aware/summary.json,cogact_base_simplerenv_bridge,temporal_fusion_task_aware,combined,200,116,58.0,47.41,6.737596417388122,142.11340260257586,47.41,98.41454432972104
results_corrected/cogact_base_simplerenv_fractal/action_repeat2/google_robot_close_drawer/summary.json,cogact_base_simplerenv_fractal,action_repeat2,google_robot_close_drawer,50,37,74.0,42.06,5.3964412110229025,128.30340492208518,21.26,102.25122124523972
results_corrected/cogact_base_simplerenv_fractal/action_repeat2/google_robot_move_near/summary.json,cogact_base_simplerenv_fractal,action_repeat2,google_robot_move_near,50,41,82.0,32.1,3.646368494599592,113.59403409967577,16.22,103.86355335634137
results_corrected/cogact_base_simplerenv_fractal/action_repeat2/google_robot_open_drawer/summary.json,cogact_base_simplerenv_fractal,action_repeat2,google_robot_open_drawer,50,42,84.0,45.86,5.775761467400007,125.94333771042318,23.2,100.23769779724935
results_corrected/cogact_base_simplerenv_fractal/action_repeat2/google_robot_pick_coke_can/summary.json,cogact_base_simplerenv_fractal,action_repeat2,google_robot_pick_coke_can,50,44,88.0,33.32,3.881273518262897,116.48479946767397,16.82,104.94587166892646
results_corrected/cogact_base_simplerenv_fractal/action_repeat2/google_robot_place_apple_in_closed_top_drawer/summary.json,cogact_base_simplerenv_fractal,action_repeat2,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,9.66838541323552,120.85481766544399,40.0,102.18763825210044
results_corrected/cogact_base_simplerenv_fractal/action_repeat4/google_robot_close_drawer/summary.json,cogact_base_simplerenv_fractal,action_repeat4,google_robot_close_drawer,50,44,88.0,38.98,4.163790307582822,106.81863282665012,10.06,104.66371504793584
results_corrected/cogact_base_simplerenv_fractal/action_repeat4/google_robot_move_near/summary.json,cogact_base_simplerenv_fractal,action_repeat4,google_robot_move_near,50,25,50.0,53.98,4.750820823260583,88.01075997148172,13.74,103.20132111234447
results_corrected/cogact_base_simplerenv_fractal/action_repeat4/google_robot_open_drawer/summary.json,cogact_base_simplerenv_fractal,action_repeat4,google_robot_open_drawer,50,21,42.0,65.86,6.72609086786164,102.12710093929,16.64,103.15389950665121
results_corrected/cogact_base_simplerenv_fractal/action_repeat4/google_robot_pick_coke_can/summary.json,cogact_base_simplerenv_fractal,action_repeat4,google_robot_pick_coke_can,50,30,60.0,51.72,4.700221605892293,90.8782213049554,13.16,103.56998175936737
results_corrected/cogact_base_simplerenv_fractal/action_repeat4/google_robot_place_apple_in_closed_top_drawer/summary.json,cogact_base_simplerenv_fractal,action_repeat4,google_robot_place_apple_in_closed_top_drawer,50,0,0.0,80.0,8.000114521153737,100.00143151442171,20.0,105.3335922799306
results_corrected/cogact_base_simplerenv_fractal/depth_pruning1/google_robot_close_drawer/summary.json,cogact_base_simplerenv_fractal,depth_pruning1,google_robot_close_drawer,50,29,58.0,48.72,8.479904740815982,174.05387399047584,48.72,99.78316226514968
