backbone,env,family,configuration,n,win,loss,delta_pts,p_mcnemar,dsteps,dsteps_lo,dsteps_hi,dtime_s,unpaired
CogACT,WidowX,Foveation,fixed_foveation_keep20,200,31,26,2.5000,0.5966,-4.2750,-8.2250,-0.7050,0.2480,0
CogACT,WidowX,Action repeat,action_repeat2,200,6,82,-38.0000,0.0000,19.7600,15.2800,24.2050,-0.6972,0
CogACT,WidowX,Depth pruning,depth_pruning2,200,34,15,9.5000,0.0094,-3.7100,-6.8000,-0.6700,-0.7171,0
CogACT,WidowX,Guarded reuse,guarded_reuse_aggressive,200,18,12,3.0000,0.3616,-1.0750,-3.6950,1.4050,-0.2893,0
CogACT,WidowX,Temporal fusion,temporal_fusion_motion_entropy,200,29,13,8.0000,0.0195,-3.4350,-6.3000,-0.9650,-0.4647,0
CronusVLA,WidowX,Foveation,fixed_foveation_keep20,200,16,11,2.5000,0.4421,-1.6350,-3.4600,0.0450,0.7761,0
CronusVLA,WidowX,Action repeat,action_repeat2,200,2,63,-30.5000,0.0000,22.8400,17.8950,28.3550,-0.1446,0
CronusVLA,WidowX,Depth pruning,depth_pruning1,200,13,10,1.5000,0.6776,-0.5300,-2.1550,0.8800,-0.2515,0
CronusVLA,WidowX,Guarded reuse,guarded_reuse_strict,200,9,5,2.0000,0.4240,-0.8200,-2.2800,0.3600,-0.1218,0
CronusVLA,WidowX,Temporal fusion,temporal_fusion_motion_entropy,200,9,10,-0.5000,1.0000,0.6500,-0.9800,2.3250,0.1372,0
MiniVLA,WidowX,Foveation,fixed_foveation_keep50,200,28,30,-1.0000,0.8957,-0.9300,-4.4750,2.2600,0.2968,0
MiniVLA,WidowX,Action repeat,action_repeat2,200,15,27,-6.0000,0.0884,3.1000,0.2350,5.8250,-2.9060,0
MiniVLA,WidowX,Depth pruning,depth_pruning1,200,16,51,-17.5000,0.0000,3.5950,-0.2400,7.1600,0.3005,0
MiniVLA,WidowX,Guarded reuse,guarded_reuse_strict,200,11,6,2.5000,0.3323,-1.1900,-3.7400,0.9750,-0.4244,0
MiniVLA,WidowX,Temporal fusion,temporal_fusion_motion_entropy,200,20,14,3.0000,0.3915,-2.6750,-5.3150,-0.2500,-0.3747,0
OpenVLA,WidowX,Foveation,fixed_foveation_keep50,200,32,59,-13.5000,0.0061,11.6050,6.2800,16.8700,2.9047,0
OpenVLA,WidowX,Action repeat,action_repeat2,200,23,54,-15.5000,0.0005,9.5850,4.6700,14.5900,-2.8217,0
OpenVLA,WidowX,Depth pruning,depth_pruning2,200,34,26,4.0000,0.3663,0.3400,-3.7950,4.5150,-0.4802,0
OpenVLA,WidowX,Guarded reuse,guarded_reuse_strict,200,12,8,2.0000,0.5034,-1.2250,-4.0500,1.4050,-0.6311,0
OpenVLA,WidowX,Temporal fusion,temporal_fusion_task_aware,200,41,27,7.0000,0.1143,-0.3800,-4.2000,3.5950,0.5333,0
SpatialVLA,WidowX,Foveation,fixed_foveation_keep20,200,21,11,5.0000,0.1102,0.4200,-1.1500,1.9450,1.1933,0
SpatialVLA,WidowX,Action repeat,action_repeat2,200,17,25,-4.0000,0.2800,4.2300,2.0550,6.5850,-7.5148,0
SpatialVLA,WidowX,Depth pruning,depth_pruning1,200,8,21,-6.5000,0.0241,4.5600,2.3300,7.0800,1.1824,0
SpatialVLA,WidowX,Guarded reuse,guarded_reuse_aggressive,200,2,1,0.5000,1.0000,-0.0200,-0.1000,0.0550,-0.0504,0
SpatialVLA,WidowX,Temporal fusion,temporal_fusion_motion_entropy,200,15,13,1.0000,0.8506,0.1900,-1.2650,1.7200,0.2834,0
UniVLA,WidowX,Foveation,fixed_foveation_keep20,200,11,28,-8.5000,0.0095,4.3550,1.7750,6.8900,0.8654,0
UniVLA,WidowX,Action repeat,action_repeat2,200,2,152,-75.0000,0.0000,41.7200,37.3450,46.0800,2.3947,0
