backbone,env,family,configuration,n,win,loss,delta_pts,p_mcnemar,dsteps,dsteps_lo,dsteps_hi,dtime_s,unpaired,in_table
CogACT,WidowX,Action repeat,action_repeat2,200,6,82,-38.0000,0.0000,19.7600,15.2800,24.2050,-0.6972,0,1
CogACT,WidowX,Action repeat,action_repeat4,200,3,94,-45.5000,0.0000,23.4250,18.9900,27.9150,-2.1785,0,0
CogACT,WidowX,Depth pruning,depth_pruning1,200,27,13,7.0000,0.0385,-3.2700,-6.6450,-0.3250,-0.5926,0,0
CogACT,WidowX,Depth pruning,depth_pruning2,200,34,15,9.5000,0.0094,-3.7100,-6.8000,-0.6700,-0.7171,0,1
CogACT,WidowX,Depth pruning,depth_pruning4,200,37,32,2.5000,0.6305,-1.0050,-5.0900,2.8200,-0.4446,0,0
CogACT,WidowX,Foveation,fixed_foveation_keep20,200,31,26,2.5000,0.5966,-4.2750,-8.2250,-0.7050,0.2480,0,1
CogACT,WidowX,Foveation,fixed_foveation_keep50,200,21,16,2.5000,0.5114,-2.4850,-5.7200,0.5950,0.6717,0,0
CogACT,WidowX,Guarded reuse,guarded_reuse_aggressive,200,18,12,3.0000,0.3616,-1.0750,-3.6950,1.4050,-0.2893,0,1
CogACT,WidowX,Guarded reuse,guarded_reuse_moderate,200,22,22,0.0000,1.0000,0.9900,-2.6750,4.6350,0.0834,0,0
CogACT,WidowX,Guarded reuse,guarded_reuse_strict,200,13,10,1.5000,0.6776,-0.5150,-3.4500,2.2300,-0.0873,0,0
CogACT,WidowX,Temporal fusion,temporal_fusion_conservative_adaptive,200,23,19,2.0000,0.6440,-1.9150,-5.2000,1.0750,-0.2733,0,0
CogACT,WidowX,Temporal fusion,temporal_fusion_motion_entropy,200,29,13,8.0000,0.0195,-3.4350,-6.3000,-0.9650,-0.4647,0,1
CogACT,WidowX,Temporal fusion,temporal_fusion_task_aware,200,29,13,8.0000,0.0195,-3.4350,-6.3000,-0.9650,-0.4560,0,0
CronusVLA,WidowX,Action repeat,action_repeat2,200,2,63,-30.5000,0.0000,22.8400,17.8950,28.3550,-0.1446,0,1
CronusVLA,WidowX,Action repeat,action_repeat4,200,0,68,-34.0000,0.0000,24.4450,19.3050,30.0150,-1.5739,0,0
CronusVLA,WidowX,Depth pruning,depth_pruning1,200,13,10,1.5000,0.6776,-0.5300,-2.1550,0.8800,-0.2515,0,0
CronusVLA,WidowX,Depth pruning,depth_pruning2,200,17,13,2.0000,0.5847,-0.0350,-1.6500,1.6350,-0.3623,0,1
CronusVLA,WidowX,Depth pruning,depth_pruning4,200,6,17,-5.5000,0.0347,1.9600,0.0900,4.0100,-0.4077,0,0
CronusVLA,WidowX,Foveation,fixed_foveation_keep20,200,16,11,2.5000,0.4421,-1.6350,-3.4600,0.0450,0.7761,0,1
CronusVLA,WidowX,Foveation,fixed_foveation_keep50,200,10,10,0.0000,1.0000,-0.1150,-1.4500,1.2050,1.0498,0,0
CronusVLA,WidowX,Guarded reuse,guarded_reuse_aggressive,200,9,5,2.0000,0.4240,-0.8200,-2.2800,0.3600,-0.1237,0,0
CronusVLA,WidowX,Guarded reuse,guarded_reuse_moderate,200,9,5,2.0000,0.4240,-0.8200,-2.2800,0.3600,-0.1978,0,0
CronusVLA,WidowX,Guarded reuse,guarded_reuse_strict,200,9,5,2.0000,0.4240,-0.8200,-2.2800,0.3600,-0.1218,0,1
CronusVLA,WidowX,Temporal fusion,temporal_fusion_conservative_adaptive,200,9,10,-0.5000,1.0000,0.6500,-0.9800,2.3250,0.1775,0,0
CronusVLA,WidowX,Temporal fusion,temporal_fusion_motion_entropy,200,9,10,-0.5000,1.0000,0.6500,-0.9800,2.3250,0.1372,0,1
CronusVLA,WidowX,Temporal fusion,temporal_fusion_task_aware,200,9,10,-0.5000,1.0000,0.6500,-0.9800,2.3250,0.1578,0,0
MiniVLA,WidowX,Action repeat,action_repeat2,200,15,27,-6.0000,0.0884,3.1000,0.2350,5.8250,-2.9060,0,1
