backbone,environment,setting,n,fail_to_success,success_to_fail,delta_points,p_mcnemar,in_table
CogACT,WidowX,"Foveation, keep 20%",200,31,26,+2.5,0.5966,1
CogACT,WidowX,"Foveation, keep 50%",200,21,16,+2.5,0.5114,0
CogACT,WidowX,"Action repeat, k=2",200,6,82,-38.0,0.0000,1
CogACT,WidowX,"Action repeat, k=4",200,3,94,-45.5,0.0000,0
CogACT,WidowX,"Depth pruning, 1 layer",200,27,13,+7.0,0.0385,0
CogACT,WidowX,"Depth pruning, 2 layers",200,34,15,+9.5,0.0094,1
CogACT,WidowX,"Depth pruning, 4 layers",200,37,32,+2.5,0.6305,0
CogACT,WidowX,"Guarded reuse, strict",200,13,10,+1.5,0.6776,0
CogACT,WidowX,"Guarded reuse, moderate",200,22,22,+0.0,1.0000,0
CogACT,WidowX,"Guarded reuse, aggressive",200,18,12,+3.0,0.3616,1
CogACT,WidowX,"Temporal fusion, motion-entropy",200,29,13,+8.0,0.0195,1
CogACT,WidowX,"Temporal fusion, task-aware",200,29,13,+8.0,0.0195,0
CogACT,WidowX,"Temporal fusion, conservative-adaptive",200,23,19,+2.0,0.6440,0
CronusVLA,WidowX,"Foveation, keep 20%",200,16,11,+2.5,0.4421,1
CronusVLA,WidowX,"Foveation, keep 50%",200,10,10,+0.0,1.0000,0
CronusVLA,WidowX,"Action repeat, k=2",200,2,63,-30.5,0.0000,1
CronusVLA,WidowX,"Action repeat, k=4",200,0,68,-34.0,0.0000,0
CronusVLA,WidowX,"Depth pruning, 1 layer",200,13,10,+1.5,0.6776,0
CronusVLA,WidowX,"Depth pruning, 2 layers",200,17,13,+2.0,0.5847,1
CronusVLA,WidowX,"Depth pruning, 4 layers",200,6,17,-5.5,0.0347,0
CronusVLA,WidowX,"Guarded reuse, strict",200,9,5,+2.0,0.4240,0
CronusVLA,WidowX,"Guarded reuse, moderate",200,10,9,+0.5,1.0000,0
CronusVLA,WidowX,"Guarded reuse, aggressive",200,11,6,+2.5,0.3323,1
CronusVLA,WidowX,"Temporal fusion, motion-entropy",200,9,10,-0.5,1.0000,1
CronusVLA,WidowX,"Temporal fusion, task-aware",200,9,10,-0.5,1.0000,0
CronusVLA,WidowX,"Temporal fusion, conservative-adaptive",200,9,10,-0.5,1.0000,0
MiniVLA,WidowX,"Foveation, keep 20%",200,23,39,-8.0,0.0559,0
MiniVLA,WidowX,"Foveation, keep 50%",200,28,30,-1.0,0.8957,1
MiniVLA,WidowX,"Action repeat, k=2",200,15,27,-6.0,0.0884,1
MiniVLA,WidowX,"Action repeat, k=4",200,26,40,-7.0,0.1089,0
MiniVLA,WidowX,"Depth pruning, 1 layer",200,16,51,-17.5,0.0000,1
