backbone,env,configuration,family,episodes,successes,success_pct,avg_steps,avg_policy_calls,avg_reuses,avg_episode_s,latency_ms_per_step,policy_query_latency_mean_ms,inference_cycle_mean_ms,delta_success_vs_original,delta_latency_ms_vs_original,delta_avg_steps_vs_original,win,loss,p_mcnemar,dsteps,dsteps_lo,dsteps_hi,dtime_s,in_table,results_folder
CogACT,WidowX,original,Original,200,100,50.00,50.85,50.84,0.00,7.194,141.48,98.88,,0.00,0.00,0.00,,,,,,,,1,cogact_base_simplerenv_bridge/original
CogACT,WidowX,fixed_foveation_keep20,Foveation,200,105,52.50,46.57,46.57,0.00,7.442,159.79,98.28,,2.50,18.31,-4.27,31,26,0.596642,-4.28,-8.22,-0.70,0.25,1,cogact_base_simplerenv_bridge/fixed_foveation_keep20
CogACT,WidowX,fixed_foveation_keep50,Foveation,200,105,52.50,48.36,48.36,0.00,7.865,162.64,99.29,,2.50,21.16,-2.48,21,16,0.511376,-2.48,-5.72,0.59,0.67,0,cogact_base_simplerenv_bridge/fixed_foveation_keep50
CogACT,WidowX,action_repeat2,Action repeat,200,24,12.00,70.61,35.33,0.00,6.496,92.01,98.73,,-38.00,-49.47,19.76,6,82,0.000000,19.76,15.28,24.20,-0.70,1,cogact_base_simplerenv_bridge/action_repeat2
CogACT,WidowX,action_repeat4,Action repeat,200,9,4.50,74.27,18.57,0.00,5.015,67.52,98.57,,-45.50,-73.96,23.42,3,94,0.000000,23.43,18.99,27.91,-2.18,0,cogact_base_simplerenv_bridge/action_repeat4
CogACT,WidowX,depth_pruning1,Depth pruning,200,114,57.00,47.58,47.58,0.00,6.601,138.75,97.07,,7.00,-2.73,-3.27,27,13,0.038477,-3.27,-6.64,-0.33,-0.59,0,cogact_base_simplerenv_bridge/depth_pruning1
CogACT,WidowX,depth_pruning2,Depth pruning,200,119,59.50,47.14,47.13,0.00,6.476,137.40,96.02,,9.50,-4.08,-3.71,34,15,0.009399,-3.71,-6.80,-0.67,-0.72,1,cogact_base_simplerenv_bridge/depth_pruning2
CogACT,WidowX,depth_pruning4,Depth pruning,200,105,52.50,49.84,49.84,0.00,6.749,135.41,93.48,,2.50,-6.07,-1.00,37,32,0.630456,-1.00,-5.09,2.82,-0.44,0,cogact_base_simplerenv_bridge/depth_pruning4
CogACT,WidowX,guarded_reuse_strict,Guarded reuse,200,103,51.50,50.33,50.17,0.16,7.106,141.19,99.44,,1.50,-0.29,-0.52,13,10,0.677639,-0.52,-3.45,2.23,-0.09,0,cogact_base_simplerenv_bridge/guarded_reuse_strict
CogACT,WidowX,guarded_reuse_moderate,Guarded reuse,200,100,50.00,51.84,51.35,0.48,7.277,140.39,99.21,,0.00,-1.09,0.99,22,22,1.000000,0.99,-2.67,4.63,0.08,0,cogact_base_simplerenv_bridge/guarded_reuse_moderate
CogACT,WidowX,guarded_reuse_aggressive,Guarded reuse,200,106,53.00,49.77,48.41,1.35,6.904,138.72,99.02,,3.00,-2.76,-1.07,18,12,0.361595,-1.07,-3.69,1.41,-0.29,1,cogact_base_simplerenv_bridge/guarded_reuse_aggressive
CogACT,WidowX,temporal_fusion_motion_entropy,Temporal fusion,200,116,58.00,47.41,47.41,0.00,6.729,141.93,98.82,,8.00,0.45,-3.44,29,13,0.019520,-3.44,-6.30,-0.96,-0.46,1,cogact_base_simplerenv_bridge/temporal_fusion_motion_entropy
CogACT,WidowX,temporal_fusion_task_aware,Temporal fusion,200,116,58.00,47.41,47.41,0.00,6.738,142.11,98.41,,8.00,0.63,-3.44,29,13,0.019520,-3.44,-6.30,-0.96,-0.46,0,cogact_base_simplerenv_bridge/temporal_fusion_task_aware
CogACT,WidowX,temporal_fusion_conservative_adaptive,Temporal fusion,200,104,52.00,48.93,48.93,0.00,6.920,141.43,98.15,,2.00,-0.05,-1.91,23,19,0.643969,-1.92,-5.20,1.07,-0.27,0,cogact_base_simplerenv_bridge/temporal_fusion_conservative_adaptive
OpenVLA,WidowX,original,Original,200,87,43.50,50.91,50.91,0.00,10.700,210.18,159.58,167.40,0.00,0.00,0.00,,,,,,,,1,openvla_simplerenv/original
OpenVLA,WidowX,fixed_foveation_keep20,Foveation,200,45,22.50,65.24,65.24,0.00,14.100,216.12,158.22,172.10,-21.00,5.94,14.33,15,57,0.000001,14.33,9.55,19.36,3.40,0,openvla_simplerenv/fixed_foveation_keep20
OpenVLA,WidowX,fixed_foveation_keep50,Foveation,200,60,30.00,62.52,62.52,0.00,13.605,217.63,159.18,173.45,-13.50,7.45,11.61,32,59,0.006106,11.61,6.28,16.87,2.90,1,openvla_simplerenv/fixed_foveation_keep50
OpenVLA,WidowX,action_repeat2,Action repeat,200,56,28.00,60.50,30.33,30.16,7.879,130.24,158.16,87.10,-15.50,-79.95,9.59,23,54,0.000539,9.59,4.67,14.59,-2.82,1,openvla_simplerenv/action_repeat2
OpenVLA,WidowX,action_repeat4,Action repeat,200,29,14.50,68.41,17.16,51.24,6.183,90.38,159.43,47.83,-29.00,-119.80,17.50,14,72,0.000000,17.50,12.78,22.18,-4.52,0,openvla_simplerenv/action_repeat4
OpenVLA,WidowX,depth_pruning1,Depth pruning,200,87,43.50,51.66,51.66,0.00,10.565,204.53,154.74,162.54,0.00,-5.65,0.75,32,32,1.000000,0.74,-3.39,4.81,-0.14,0,openvla_simplerenv/depth_pruning1
