backbone,env,configuration,family,task,task_description,episodes,successes,success_pct,avg_steps,avg_reuses,orig_episodes,orig_successes,orig_success_pct,orig_avg_steps,delta_success_pct,delta_avg_steps,delta_vs_original
CogACT,WidowX,original,Original,widowx_carrot_on_plate,,50,19,38.00,50.86,0.00,50,19,38.00,50.86,0.00,0.00,0.00
CogACT,WidowX,original,Original,widowx_put_eggplant_in_basket,,50,34,68.00,60.60,0.00,50,34,68.00,60.60,0.00,0.00,0.00
CogACT,WidowX,original,Original,widowx_spoon_on_towel,,50,31,62.00,40.34,0.00,50,31,62.00,40.34,0.00,0.00,0.00
CogACT,WidowX,original,Original,widowx_stack_cube,,50,16,32.00,51.58,0.00,50,16,32.00,51.58,0.00,0.00,0.00
CogACT,WidowX,fixed_foveation_keep20,Foveation,widowx_carrot_on_plate,,50,21,42.00,48.10,0.00,50,19,38.00,50.86,4.00,-2.76,4.00
CogACT,WidowX,fixed_foveation_keep20,Foveation,widowx_put_eggplant_in_basket,,50,44,88.00,43.70,0.00,50,34,68.00,60.60,20.00,-16.90,20.00
CogACT,WidowX,fixed_foveation_keep20,Foveation,widowx_spoon_on_towel,,50,25,50.00,43.26,0.00,50,31,62.00,40.34,-12.00,2.92,-12.00
CogACT,WidowX,fixed_foveation_keep20,Foveation,widowx_stack_cube,,50,15,30.00,51.22,0.00,50,16,32.00,51.58,-2.00,-0.36,-2.00
CogACT,WidowX,fixed_foveation_keep50,Foveation,widowx_carrot_on_plate,,50,21,42.00,48.62,0.00,50,19,38.00,50.86,4.00,-2.24,4.00
CogACT,WidowX,fixed_foveation_keep50,Foveation,widowx_put_eggplant_in_basket,,50,38,76.00,53.82,0.00,50,34,68.00,60.60,8.00,-6.78,8.00
CogACT,WidowX,fixed_foveation_keep50,Foveation,widowx_spoon_on_towel,,50,32,64.00,38.42,0.00,50,31,62.00,40.34,2.00,-1.92,2.00
CogACT,WidowX,fixed_foveation_keep50,Foveation,widowx_stack_cube,,50,14,28.00,52.58,0.00,50,16,32.00,51.58,-4.00,1.00,-4.00
CogACT,WidowX,action_repeat2,Action repeat,widowx_carrot_on_plate,,50,7,14.00,57.24,0.00,50,19,38.00,50.86,-24.00,6.38,-24.00
CogACT,WidowX,action_repeat2,Action repeat,widowx_put_eggplant_in_basket,,50,8,16.00,108.22,0.00,50,34,68.00,60.60,-52.00,47.62,-52.00
CogACT,WidowX,action_repeat2,Action repeat,widowx_spoon_on_towel,,50,9,18.00,56.96,0.00,50,31,62.00,40.34,-44.00,16.62,-44.00
CogACT,WidowX,action_repeat2,Action repeat,widowx_stack_cube,,50,0,0.00,60.00,0.00,50,16,32.00,51.58,-32.00,8.42,-32.00
CogACT,WidowX,action_repeat4,Action repeat,widowx_carrot_on_plate,,50,4,8.00,58.82,0.00,50,19,38.00,50.86,-30.00,7.96,-30.00
CogACT,WidowX,action_repeat4,Action repeat,widowx_put_eggplant_in_basket,,50,1,2.00,119.20,0.00,50,34,68.00,60.60,-66.00,58.60,-66.00
CogACT,WidowX,action_repeat4,Action repeat,widowx_spoon_on_towel,,50,3,6.00,59.46,0.00,50,31,62.00,40.34,-56.00,19.12,-56.00
CogACT,WidowX,action_repeat4,Action repeat,widowx_stack_cube,,50,1,2.00,59.60,0.00,50,16,32.00,51.58,-30.00,8.02,-30.00
CogACT,WidowX,depth_pruning1,Depth pruning,widowx_carrot_on_plate,,50,22,44.00,49.48,0.00,50,19,38.00,50.86,6.00,-1.38,6.00
CogACT,WidowX,depth_pruning1,Depth pruning,widowx_put_eggplant_in_basket,,50,39,78.00,52.26,0.00,50,34,68.00,60.60,10.00,-8.34,10.00
CogACT,WidowX,depth_pruning1,Depth pruning,widowx_spoon_on_towel,,50,37,74.00,37.64,0.00,50,31,62.00,40.34,12.00,-2.70,12.00
CogACT,WidowX,depth_pruning1,Depth pruning,widowx_stack_cube,,50,16,32.00,50.92,0.00,50,16,32.00,51.58,0.00,-0.66,0.00
CogACT,WidowX,depth_pruning2,Depth pruning,widowx_carrot_on_plate,,50,27,54.00,46.86,0.00,50,19,38.00,50.86,16.00,-4.00,16.00
CogACT,WidowX,depth_pruning2,Depth pruning,widowx_put_eggplant_in_basket,,50,39,78.00,52.10,0.00,50,34,68.00,60.60,10.00,-8.50,10.00
CogACT,WidowX,depth_pruning2,Depth pruning,widowx_spoon_on_towel,,50,32,64.00,41.64,0.00,50,31,62.00,40.34,2.00,1.30,2.00
CogACT,WidowX,depth_pruning2,Depth pruning,widowx_stack_cube,,50,21,42.00,47.94,0.00,50,16,32.00,51.58,10.00,-3.64,10.00
CogACT,WidowX,depth_pruning4,Depth pruning,widowx_carrot_on_plate,,50,26,52.00,45.68,0.00,50,19,38.00,50.86,14.00,-5.18,14.00
CogACT,WidowX,depth_pruning4,Depth pruning,widowx_put_eggplant_in_basket,,50,38,76.00,56.28,0.00,50,34,68.00,60.60,8.00,-4.32,8.00
CogACT,WidowX,depth_pruning4,Depth pruning,widowx_spoon_on_towel,,50,21,42.00,49.02,0.00,50,31,62.00,40.34,-20.00,8.68,-20.00
CogACT,WidowX,depth_pruning4,Depth pruning,widowx_stack_cube,,50,20,40.00,48.38,0.00,50,16,32.00,51.58,8.00,-3.20,8.00
CogACT,WidowX,guarded_reuse_strict,Guarded reuse,widowx_carrot_on_plate,,50,22,44.00,49.90,0.02,50,19,38.00,50.86,6.00,-0.96,6.00
CogACT,WidowX,guarded_reuse_strict,Guarded reuse,widowx_put_eggplant_in_basket,,50,35,70.00,59.38,0.54,50,34,68.00,60.60,2.00,-1.22,2.00
CogACT,WidowX,guarded_reuse_strict,Guarded reuse,widowx_spoon_on_towel,,50,31,62.00,40.34,0.00,50,31,62.00,40.34,0.00,0.00,0.00
CogACT,WidowX,guarded_reuse_strict,Guarded reuse,widowx_stack_cube,,50,15,30.00,51.70,0.08,50,16,32.00,51.58,-2.00,0.12,-2.00
CogACT,WidowX,guarded_reuse_moderate,Guarded reuse,widowx_carrot_on_plate,,50,20,40.00,51.06,0.12,50,19,38.00,50.86,2.00,0.20,2.00
CogACT,WidowX,guarded_reuse_moderate,Guarded reuse,widowx_put_eggplant_in_basket,,50,32,64.00,65.00,1.52,50,34,68.00,60.60,-4.00,4.40,-4.00
CogACT,WidowX,guarded_reuse_moderate,Guarded reuse,widowx_spoon_on_towel,,50,35,70.00,38.68,0.06,50,31,62.00,40.34,8.00,-1.66,8.00
CogACT,WidowX,guarded_reuse_moderate,Guarded reuse,widowx_stack_cube,,50,13,26.00,52.60,0.24,50,16,32.00,51.58,-6.00,1.02,-6.00
CogACT,WidowX,guarded_reuse_aggressive,Guarded reuse,widowx_carrot_on_plate,,50,21,42.00,49.48,0.42,50,19,38.00,50.86,4.00,-1.38,4.00
CogACT,WidowX,guarded_reuse_aggressive,Guarded reuse,widowx_put_eggplant_in_basket,,50,35,70.00,59.12,3.62,50,34,68.00,60.60,2.00,-1.48,2.00
CogACT,WidowX,guarded_reuse_aggressive,Guarded reuse,widowx_spoon_on_towel,,50,33,66.00,38.92,0.70,50,31,62.00,40.34,4.00,-1.42,4.00
CogACT,WidowX,guarded_reuse_aggressive,Guarded reuse,widowx_stack_cube,,50,17,34.00,51.56,0.68,50,16,32.00,51.58,2.00,-0.02,2.00
CogACT,WidowX,temporal_fusion_motion_entropy,Temporal fusion,widowx_carrot_on_plate,,50,23,46.00,49.74,0.00,50,19,38.00,50.86,8.00,-1.12,8.00
CogACT,WidowX,temporal_fusion_motion_entropy,Temporal fusion,widowx_put_eggplant_in_basket,,50,41,82.00,51.06,0.00,50,34,68.00,60.60,14.00,-9.54,14.00
CogACT,WidowX,temporal_fusion_motion_entropy,Temporal fusion,widowx_spoon_on_towel,,50,36,72.00,37.08,0.00,50,31,62.00,40.34,10.00,-3.26,10.00
CogACT,WidowX,temporal_fusion_motion_entropy,Temporal fusion,widowx_stack_cube,,50,16,32.00,51.76,0.00,50,16,32.00,51.58,0.00,0.18,0.00
CogACT,WidowX,temporal_fusion_task_aware,Temporal fusion,widowx_carrot_on_plate,,50,23,46.00,49.74,0.00,50,19,38.00,50.86,8.00,-1.12,8.00
CogACT,WidowX,temporal_fusion_task_aware,Temporal fusion,widowx_put_eggplant_in_basket,,50,41,82.00,51.06,0.00,50,34,68.00,60.60,14.00,-9.54,14.00
CogACT,WidowX,temporal_fusion_task_aware,Temporal fusion,widowx_spoon_on_towel,,50,36,72.00,37.08,0.00,50,31,62.00,40.34,10.00,-3.26,10.00
CogACT,WidowX,temporal_fusion_task_aware,Temporal fusion,widowx_stack_cube,,50,16,32.00,51.76,0.00,50,16,32.00,51.58,0.00,0.18,0.00
CogACT,WidowX,temporal_fusion_conservative_adaptive,Temporal fusion,widowx_carrot_on_plate,,50,18,36.00,51.30,0.00,50,19,38.00,50.86,-2.00,0.44,-2.00
CogACT,WidowX,temporal_fusion_conservative_adaptive,Temporal fusion,widowx_put_eggplant_in_basket,,50,38,76.00,54.50,0.00,50,34,68.00,60.60,8.00,-6.10,8.00
